returned_spotify_id,spotify_name,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,population
2S5hlvw4CMtMGswFtfdK15,Royal Blood,1759451,2873864,strict,UK515F,Brighton and Hove,441252
2e53aHBQdCMKWqHDuyJsjC,Free,631085,2860415,strict,UK001F,London,12274097
3Bd1cgCjtCI32PYvDC3ynO,London Grammar,1695264,2832139,strict,UK029F,Nottingham,906878
36E7oYfz3LLRto6l2WmDcD,Pulp,1164307,2830863,strict,UK010F,Sheffield,1168389
0bZCak2tcRMY1dzEIuwF42,The Heavy,516287,2796068,strict,UK031F,Bath and North East Somerset,192419
2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,1843051,2790501,strict,UK022F,Wrexham,135152
2rGm8R7YDTbqDCVlNssQyL,DNA,18304,2774617,strict,UK031F,Bath and North East Somerset,192419
1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,960764,2758706,strict,UK006F,Liverpool,1540817
6JMHws5haIO6V35YNYDnDw,Atomic Kitten,525204,2751716,strict,UK006F,Liverpool,1540817
4zKYrXs8iN4AeHmO8ZxNqp,Still Corners,415092,2608941,strict,UK001F,London,12274097
1caBfBEapzw8z2Qz9q0OaQ,Asking Alexandria,2530673,2592556,strict,UK533F,York,201851
5TDVKqW9uhqGjwwwKGuma4,All Saints,609132,2567281,strict,UK001F,London,12274097
01pKrlgPJhm5dB4lneYAqS,Sigma,360513,2550591,strict,UK003F,Leeds,2969034
4aaBjq7VqqQvpSF69GglvO,Moloko,516418,2507932,strict,UK010F,Sheffield,1168389
4gIdjgLlvgEOz7MexDZzpM,Status Quo,872142,2503249,strict,UK001F,London,12274097
5r1bdqzhgRoHC3YcCV6N5a,The Darkness,510654,2453090,strict,UK569F,Ipswich,479138
5JsdVATHNPE0XdMFMRoSuf,Texas,572024,2420479,strict,UK004F,Glasgow,1831890
1NRzxuPpdGushT8YmF5NAa,Edison Lighthouse,80780,2393214,strict,UK001F,London,12274097
6Zh3xrWlA0SA9Fsfj9AVwm,Wang Chung,413141,2358411,strict,UK001F,London,12274097
49DW3KvkyjHO35mK1JnSyS,The Cult,852449,2277310,strict,UK003F,Leeds,2969034
6SLAMfhOi7UJI0fMztaK0m,Rainbow,1739107,2270623,strict,UK001F,London,12274097
1KNXft7nnRQj82sENi7WGN,Sohodolls,321285,2252106,strict,UK001F,London,12274097
0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,1120606,2210172,strict,UK006F,Liverpool,1540817
60FV7KyxIH9FH1uq7u8inP,The Shapeshifters,99295,2179710,strict,UK001F,London,12274097
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,889088,2160062,strict,UK001F,London,12274097
46CitWgnWrvF9t70C2p1Me,Daughter,1446477,2134237,strict,UK001F,London,12274097
5BcZ22XONcRoLhTbZRuME1,The Moody Blues,1500809,2129836,strict,UK002F,Birmingham,3135994
7nkLRaWHImCvWGHdNGnhVE,Ten Years After,656932,2124380,strict,UK029F,Nottingham,906878
6bWxFw65IEJzBYjx3SxUXd,Morcheeba,988331,2099112,strict,UK001F,London,12274097
5jVeqi3PNaTOajfvBa4uFn,Thompson Twins,750750,2069490,strict,UK010F,Sheffield,1168389
