popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
549,6fVcDUckTwxqg56qNsEvUr,Frightened Rabbit,Q1464866,255039,251709,Frightened Rabbit,ok,75940,12,excluded_no_defensible_fua,,,False,5.406606596864178,4.880470592803778,4.89947678192351,-0.01900618911973151,367.0,433.0
550,7GeAzBsalYANXTi1ReOm1R,Stanton Warriors,Q7600283,70322,251667,Stanton Warriors,ok,8966,12,excluded_no_defensible_fua,,,False,4.847091213837787,3.952598734529773,4.499378009368061,-0.546779274838288,657.0,831.0
551,7EFB09NxZrMi9pGlOnuBpd,The Horrors,Q1138555,296621,251304,The Horrors,ok,65261,12,strict,UK001F,London,True,5.472201894707433,4.8146537242351,4.9463827275840915,-0.1317290033489913,330.0,465.0
552,6EK2381dTQEvcn3KrnMOWQ,Uniting Nations,Q1476064,11305,251123,Uniting Nations,ok,7674,12,strict,UK006F,Liverpool,True,4.053270566681379,3.8850217948622974,3.931732013937994,-0.046710219075696724,889.0,844.0
553,7DruTvBV7owt1aSAZHsU58,Viola Beach,Q22712305,146142,245749,Viola Beach,ok,152844,12,strict,UK531F,Warrington,True,5.164775046508722,5.1842483948577485,4.726547655401468,0.4577007394562802,486.0,261.0
554,4KlYg0F5KG9QNDFKaeTNAy,VNV Nation,Q727124,225268,245699,VNV Nation,ok,40384,12,strict,UK001F,London,True,5.3526995032619595,4.606209333228022,4.860928848056852,-0.25471951482882993,390.0,582.0
555,7hqZBHSgDs1odG9aupMzEI,Big Audio Dynamite,Q239474,159697,244576,Big Audio Dynamite,ok,121612,12,strict,UK001F,London,True,5.2032967577434714,5.084976430830234,4.754093795953303,0.3308826348769305,460.0,320.0
556,2VL8sLEJ6lHEwocjc1pN9w,The Tremeloes,Q177364,158758,239363,The Tremeloes,ok,124101,12,excluded_no_defensible_fua,,,False,5.200735619118755,5.0937752810372645,4.752262374599791,0.34151290643747334,462.0,314.0
557,2IkHcHKErbWa0TA14yHkbl,Dirty Vegas,Q1228291,57837,237782,Dirty Vegas,ok,19840,12,excluded_no_defensible_fua,,,False,4.762205758054881,4.29754166781816,4.438678039900111,-0.1411363720819514,701.0,717.0
558,2RiGIRDi4GoJpDbjDnPVJl,Sylosis,Q1631741,189903,236596,Sylosis,ok,78853,12,strict,UK552F,Reading,True,5.278531825575114,4.896818220919975,4.807892957166261,0.08892526375371457,419.0,421.0
