popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,monthly_listeners,followers,wikidata_name,inception_year,genre_qids,genre_labels,genre_families,record_label_qids,record_label_names,member_qids,member_names,enwiki_title,mapping_tier,fua_code,study_city_label,population,mapped_fua,has_genre,has_inception_year,formation_decade
482,0WPY9nnBy01s5QOt4o4oQX,Ride,Q4371,296215,272871,Ride,1988.0,Q11366|Q272167,alternative rock|shoegaze,Rock and indie,Q1139341,Creation Records,Q353388,Andy Bell,Ride (band),strict,UK560F,Oxford,576725.0,True,True,True,1980
483,6bkF6GDcyXZn2T0D5Fwldl,Hang Massive,Q21722983,296134,180715,Hang Massive,,Q193207,ambient music,Electronic and dance,,,,,Hang Massive,excluded_no_defensible_fua,,,,False,True,False,
484,48VgYEfRllDfyLl4BEMVSF,The Oozes,Q128077193,295667,208913,The Oozes,2018.0,Q11366|Q930995,alternative rock|queercore,Other genres|Rock and indie,,,Q139556302|Q139556367,Mike Whim|Tom Gilbert,,excluded_no_defensible_fua,,,,False,True,True,2010
485,5E704N5StxMVKpalhaJ5L3,The Shamen,Q587713,295405,81056,The Shamen,1985.0,Q170611|Q206159,psychedelic rock|techno,Electronic and dance|Rock and indie,Q6895592,Moksha Records,,,The Shamen,excluded_no_defensible_fua,,,,False,True,True,1980
486,5gInJ5P5gQnOKPM3SUEVFt,Camera Obscura,Q1028565,295126,206573,Camera Obscura,1996.0,Q842324,indie pop,"Pop, soul and R&B",Q1464351|Q1921640|Q238095|Q4754512,4AD|Andmoresound|Elefant Records|Merge Records,,,Camera Obscura (band),strict,UK004F,Glasgow,1831890.0,True,True,True,1990
487,6Pwy6Wat9hp8g83y6gih5g,Damage,Q5211877,294456,21732,Damage,1994.0,Q850412,contemporary R&B,"Pop, soul and R&B",Q4905961,Big Life,,,Damage (British group),excluded_no_defensible_fua,,,,False,True,True,1990
488,2LIdnZDzySb04oH40be1fR,Fairport Convention,Q1145652,294353,149174,Fairport Convention,1967.0,Q186472|Q235858,folk rock|traditional folk music,Other genres,Q155152|Q190585|Q277626,A&M Records|Island Records|Polydor Records,Q1655586|Q1969307|Q236638|Q291592|Q539955|Q725884,Ashley Hutchings|Iain Matthews|Judy Dyble|Richard Thompson|Sandy Denny|Simon Nicol,Fairport Convention,strict,UK001F,London,12274097.0,True,True,True,1960
489,4jrTNltJtTMUfXybDdsHDn,The New Seekers,Q934498,294222,68961,The New Seekers,1969.0,Q37073,pop music,"Pop, soul and R&B",Q1536003|Q726251,Elektra|Philips Records,,,The New Seekers,excluded_no_defensible_fua,,,,False,True,True,1960
490,4GzIiGnHYrOnq2LUiD6zdo,Jive Bunny and the Mastermixers,Q1689719,294182,63077,Jive Bunny and the Mastermixers,,Q1151663|Q37073,novelty music|pop music,"Other genres|Pop, soul and R&B",Q15693889,Music Factory,,,Jive Bunny and the Mastermixers,strict,UK010F,Sheffield,1168389.0,True,True,False,
491,7243txmysJ4KbRmH8UAMKO,The Amazons,Q28754328,294130,149873,The Amazons,,Q11366,alternative rock,Rock and indie,,,,,The Amazons (band),excluded_no_defensible_fua,,,,False,True,False,
492,09K1H1DgyIXHsMx2j7KTFX,Mystery Jets,Q1956918,291320,170699,Mystery Jets,2004.0,Q183504,indie rock,Rock and indie,Q264137,Caroline Records,Q15275252,Blaine Harrison,Mystery Jets,strict,UK001F,London,12274097.0,True,True,True,2000
493,7EV6jW6dotBdvsHj6xPixi,The Divine Comedy,Q1543686,291037,174650,The Divine Comedy,1989.0,Q11366|Q189045|Q22991878|Q46046,Britpop|alternative rock|baroque pop|chamber pop,"Pop, soul and R&B|Rock and indie",Q208909|Q3480633,Parlophone|Setanta Records,Q2916110,Neil Hannon,The Divine Comedy (band),excluded_no_defensible_fua,,,,False,True,True,1980
494,6lHC2EQMEMZiEmSfFloarn,Peter And Gordon,Q1256943,290650,38450,Peter and Gordon,1963.0,Q37073,pop music,"Pop, soul and R&B",Q1112471|Q193023,Capitol Records|Columbia Graphophone Co. Ltd.,Q1803720|Q3610274,Gordon Waller|Peter Asher,Peter and Gordon,excluded_no_defensible_fua,,,,False,True,True,1960
495,45FqwUG4hTT6d39r2HUsUe,Sea Girls,Q3476673,289846,161623,Sea Girls,,Q1062400,chanson,Other genres,,,,,Sea Girls,strict,UK001F,London,12274097.0,True,True,False,
496,19f2JXwlRU26376TCKmp6L,GoGo Penguin,Q18151740,289811,295895,GoGo Penguin,2012.0,Q8341,jazz,Other genres,Q56248515|Q885833,Blue Note|Gondwana Records,Q64214440|Q64214456|Q64214462,Chris Illingworth|Nick Blacka|Rob Turner,GoGo Penguin,strict,UK008F,Manchester,3432092.0,True,True,True,2010
497,3oxkIoEAyXXQlLTZXlffLJ,Zola Blood,Q64832876,286256,87001,Zola Blood,,Q842324,indie pop,"Pop, soul and R&B",,,,,Zola Blood,excluded_no_defensible_fua,,,,False,True,False,
498,66GWpx9iLxrvvfhDsG9STP,Inspiral Carpets,Q500492,285082,169178,Inspiral Carpets,1983.0,Q11366,alternative rock,Rock and indie,Q240804,Mute Records,Q5133927,Clint Boon,Inspiral Carpets,strict,UK008F,Manchester,3432092.0,True,True,True,1980
499,4K3NWDwBIxgktui14SccR2,The Vapors,Q1504687,284360,63462,The Vapors,1979.0,Q187760|Q837837,new wave|power pop,"Pop, soul and R&B|Punk and new wave",Q1542119,United Artists Records,Q5341823,Edward Bazalgette,The Vapors,strict,UK033F,Guildford,272893.0,True,True,True,1970
500,0GShYlUdyLahdsvgKdselx,Bad Manners,Q798739,283186,175516,Bad Manners,1976.0,Q54365,ska,Other genres,Q16997189,Magnet,Q1017758,Buster Bloodvessel,Bad Manners,strict,UK001F,London,12274097.0,True,True,True,1970
501,31DXlldabwPHwu6dYevuzK,Simian Mobile Disco,Q585470,281669,182922,Simian Mobile Disco,2005.0,Q484641|Q598593|Q817138,electronica|pop rock|tech house,"Electronic and dance|Other genres|Pop, soul and R&B",Q1810123|Q295794|Q917561,Anti-|Kitsuné|Wichita Recordings,,,Simian Mobile Disco,strict,UK001F,London,12274097.0,True,True,True,2000
