fua_code,official_fua_name,study_city_label,population_year,population,band_count,monthly_listeners_total,followers_total,largest_band_by_followers,largest_band_followers,population_share,band_share,monthly_listener_share,follower_share,band_output_quotient,monthly_listener_output_quotient,follower_output_quotient,largest_band_follower_share,representation_status,model_included,expected_follower_median,expected_follower_mean_smearing,expected_follower_median_share,expected_median_ci_low,expected_median_ci_high,log_residual,studentized_log_residual,observed_to_expected_median,leverage,cooks_distance,residual_rank
UK029F,Nottingham,Nottingham,2021,906878,5,5230658.0,2494802.0,London Grammar,1695264.0,0.01744712996022308,0.005,0.002315205720976415,0.002728434919036799,0.2865800857447198,0.13269837080681737,0.15638302260929068,0.6795184547711602,two or more selected bands,True,4552966.188727633,12746464.740327854,0.004979341821322238,3141917.076849216,6597723.812776444,-0.6015695628355857,-0.4052188292602353,0.5479509173990144,0.02804659126226142,0.002369102643933233,40
UK050F,Burnley,Burnley,2021,190553,1,4700579.0,225650.0,Chumbawamba,225650.0,0.003665986996388035,0.001,0.0020805809503702207,0.0002467816441868548,0.2727778360875977,0.5675363694470663,0.06731656288742974,1.0,one selected band,True,423714.67117973045,1186229.7878520738,0.00046339465198239044,251627.75263938622,713490.94322772,-0.6300751570987799,-0.4238475445649407,0.5325517744564581,0.025418096555627368,0.0023426857164908117,41
UK525F,Milton Keynes,Milton Keynes,2021,288312,2,182221.0,422537.0,TesseracT,359654.0,0.005546740502131308,0.002,8.06550727809089e-05,0.00046210669439300273,0.36057212325536225,0.014540985421964048,0.0833113959839009,0.851177530015123,two or more selected bands,True,795801.3337105932,2227922.022694109,0.0008703264417424865,516533.48713305866,1226057.513232286,-0.6330725570009843,-0.4242706578956,0.5309578937620414,0.01808486591465249,0.001657667178584104,42
UK051F,Great Yarmouth,Great Yarmouth,2021,100179,1,119190.0,81520.0,Catherine Wheel,81520.0,0.0019273110961840379,0.001,5.275614843929367e-05,8.915417520102992e-05,0.5188575949051198,0.027372928295669403,0.04625832092055607,1.0,one selected band,True,159244.7678881701,445820.9735872213,0.00017415770284775835,80018.54373275444,316912.74193205393,-0.6695940502927069,-0.4558158729694082,0.51191634790317,0.04830616480861744,0.005272956593269138,43
UK025F,Coventry,Coventry,2021,741982,7,2108051.0,1603615.0,The Specials,741585.0,0.014274749615875831,0.007,0.0009330703202752031,0.0017537901455471,0.490376377054969,0.06536509188486767,0.12285960824115623,0.4624457865510113,two or more selected bands,True,3354607.817504035,9391545.750835644,0.003668759728808873,2350415.1815601443,4787832.250891723,-0.7380744129630958,-0.49590644146928703,0.4780335250017853,0.023091757784787777,0.002906516033148368,44
UK014F,Leicester,Leicester,2021,922812,2,4569954.0,2012129.0,Kasabian,1926968.0,0.017753678987530164,0.002,0.0020227634162659942,0.0022005606157148323,0.11265270716028834,0.11393488739357874,0.1239495553152934,0.9576761728497527,two or more selected bands,True,4675279.352665097,13088892.152871966,0.0051131093537936925,3220460.511288931,6787301.6759047955,-0.8430955500458399,-0.5680558371413525,0.43037620818379696,0.028540916106466106,0.004740186765582818,45
UK517F,Swansea,Swansea,2021,379831,1,1128068.0,471790.0,Badfinger,471790.0,0.007307444683762858,0.001,0.0004993080196125273,0.0005159721334407986,0.13684674236700006,0.06832867592169253,0.07060910561352435,1.0,one selected band,True,1210690.0061156647,3389442.58198703,0.001324068558873552,821819.8938736242,1783566.3286264376,-0.9424117577193307,-0.63104828618616,0.38968687080656983,0.016421149615635882,0.003324218513939162,46
UK520F,Southampton,Southampton,2021,692010,4,1927551.0,1070012.0,Bury Tomorrow,357588.0,0.013313354611947775,0.004,0.0008531770004220903,0.0011702163556820955,0.30045019580641896,0.06408429920858756,0.08789793330013991,0.3341906445909018,two or more selected bands,True,3016847.6382646,8445953.79234025,0.0032993690247381685,2119388.2169233086,4294338.149013137,-1.0365425944651143,-0.6959455235426679,0.3546788331065697,0.02168933460131446,0.005368957130517394,47
UK003F,Leeds,Leeds,2021,2969034,24,26460052.0,10059117.0,alt-J,3499216.0,0.057120276436655175,0.024,0.01171180829787255,0.011001131984613083,0.42016603380089285,0.20503766838139562,0.19259591638729265,0.3478651257361854,two or more selected bands,True,27684531.987805188,77505497.78048162,0.030277129725212227,15026829.602478553,51004325.7066941,-1.0123944577712116,-0.7029161285685995,0.3633479158842548,0.08515930658652118,0.022996601698025147,48
UK569F,Ipswich,Ipswich,2021,479138,1,2453090.0,510654.0,The Darkness,510654.0,0.009217979656449231,0.001,0.0010857922659195142,0.0005584756646602887,0.10848364145611494,0.11779069887183519,0.06058547376697224,1.0,one selected band,True,1724089.214815937,4826752.818907333,0.0018855465152098397,1199860.9138841392,2477356.82215219,-1.2167619414706081,-0.8150023796562511,0.29618768890362634,0.017015988548313224,0.0057490818081566315,49
