popularity_rank,spotify_name,returned_spotify_id,wikidata_qid,monthly_listeners,formation_label,current_claim_place,current_origin_cluster,current_origin_resolution,wikidata_url,musicbrainz_ids,musicbrainz_names,musicbrainz_begin_area,musicbrainz_urls,musicbrainz_matches_claim,wikipedia_title,wikipedia_origin,wikipedia_url,wikipedia_matches_claim,automated_status,proposed_origin,review_priority,manual_status,manual_decision,manual_source_url,manual_notes,final_status,final_origin
29,Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,Q47670,18288641,Birmingham,Birmingham,Birmingham,reported_place,https://www.wikidata.org/wiki/Q47670,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Black Sabbath,Birmingham,https://musicbrainz.org/artist/5182c1d9-c7d2-4dad-afa0-ccfeada921a8,True,Black Sabbath,"Birmingham, England",https://en.wikipedia.org/wiki/Black_Sabbath,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Birmingham
30,The Outfield,1zxDewzd2j1ZdSBGaYcr0y,Q2093178,17941634,Manchester,London,London,reviewed_override,https://www.wikidata.org/wiki/Q2093178,5d400869-0471-42ee-afda-3addd73d0418,The Outfield,Manchester,https://musicbrainz.org/artist/5d400869-0471-42ee-afda-3addd73d0418,False,The Outfield,"London, England",https://en.wikipedia.org/wiki/The_Outfield,True,corroborated_with_source_variation,,high,corrected,London,https://theoutfield.com/bio,The band's official biography describes it as London-based and rooted in London's East End; Manchester is unsupported.,corrected,London
31,Depeche Mode,762310PdDnwsDxAQxzQkfX,Q482964,17667155,Basildon,Basildon,Basildon,reported_place,https://www.wikidata.org/wiki/Q482964,8538e728-ca0b-4321-b7e5-cff6565dd4c0,Depeche Mode,Basildon,https://musicbrainz.org/artist/8538e728-ca0b-4321-b7e5-cff6565dd4c0,True,Depeche Mode,"Basildon, Essex, England",https://en.wikipedia.org/wiki/Depeche_Mode,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Basildon
32,America,35U9lQaRWSQISxQAB94Meo,Q126852,17384987,London,London,London,reported_place,https://www.wikidata.org/wiki/Q126852,34cf95c7-4be9-4efd-a48a-c2ea4a0bb114,America,London,https://musicbrainz.org/artist/34cf95c7-4be9-4efd-a48a-c2ea4a0bb114,True,America (band),"London, England",https://en.wikipedia.org/wiki/America_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
33,The Verve,2cGwlqi3k18jFpUyTrsR84,Q488916,16374768,Wigan,Wigan,Manchester,editorial_city_cluster,https://www.wikidata.org/wiki/Q488916,d4d17620-fd97-4574-92a8-a2cb7e72ce42,The Verve,Wigan,https://musicbrainz.org/artist/d4d17620-fd97-4574-92a8-a2cb7e72ce42,True,The Verve,"Wigan, England, United Kingdom",https://en.wikipedia.org/wiki/The_Verve,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Wigan
34,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Q58381,15134650,Birmingham,Birmingham,Birmingham,reported_place,https://www.wikidata.org/wiki/Q58381,1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,Duran Duran,Birmingham,https://musicbrainz.org/artist/1a1cd7f3-e5df-4eca-bae2-2757c9e656b5,True,Duran Duran,"Birmingham, England",https://en.wikipedia.org/wiki/Duran_Duran,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,Birmingham
35,Eurythmics,0NKDgy9j66h3DLnN8qu1bB,Q207706,14843560,Sunderland,London,London,reviewed_override,https://www.wikidata.org/wiki/Q207706,b4d32cff-f19e-455f-86c4-f347d824ca61,Eurythmics,London,https://musicbrainz.org/artist/b4d32cff-f19e-455f-86c4-f347d824ca61,True,Eurythmics,"London, England",https://en.wikipedia.org/wiki/Eurythmics,True,corroborated_two_sources,,,corrected,London,https://rockhall.com/wp-content/uploads/2024/03/Eurythmics_RNRHF_Final_2022-LR.pdf,The duo formed in London; Sunderland is Dave Stewart's earlier home scene.,corrected,London
36,Little Mix,3e7awlrlDSwF3iM0WBjGMp,Q158419,14779473,England,London,London,reviewed_override,https://www.wikidata.org/wiki/Q158419,38f59974-2f4d-4bfa-b2e3-d2696de1b675,Little Mix,London,https://musicbrainz.org/artist/38f59974-2f4d-4bfa-b2e3-d2696de1b675,True,Little Mix,"London, England",https://en.wikipedia.org/wiki/Little_Mix,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
37,The Clash,3RGLhK1IP9jnYFH4BRFJBS,Q125603,14589467,London,London,London,reported_place,https://www.wikidata.org/wiki/Q125603,8f92558c-2baa-4758-8c38-615519e9deda,The Clash,London,https://musicbrainz.org/artist/8f92558c-2baa-4758-8c38-615519e9deda,True,The Clash,"London, England",https://en.wikipedia.org/wiki/The_Clash,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
38,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,Q953918,14381934,London,London,London,reported_place,https://www.wikidata.org/wiki/Q953918,c44e9c22-ef82-4a77-9bcd-af6c958446d6,Mumford & Sons,London,https://musicbrainz.org/artist/c44e9c22-ef82-4a77-9bcd-af6c958446d6,True,Mumford & Sons,"London, England",https://en.wikipedia.org/wiki/Mumford_%26_Sons,True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
39,Blur,7MhMgCo0Bl0Kukl93PZbYS,Q485820,14009757,London,London,London,reported_place,https://www.wikidata.org/wiki/Q485820,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,Blur,London,https://musicbrainz.org/artist/ba853904-ae25-4ebb-89d6-c44cfbd71bd2,True,Blur (band),"London, England",https://en.wikipedia.org/wiki/Blur_(band),True,corroborated_two_sources,,,not_reviewed,,,,confirmed,London
