popularity_rank,capture_key,city,returned_spotify_id,spotify_name,monthly_listeners,followers,world_rank,stats_extracted_at_utc,source,source_access,requested_spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label,identity_decision,origin_override,reason,source_url,identity_name_match,identity_status,identity_accepted,band_eligible,eligibility_status,requested_is_returned,redirect_duplicate,entity_duplicate,origin_cluster,origin_resolution
53,The Hollies [6waa8mKu91GjzD4NlONlNJ],,6waa8mKu91GjzD4NlONlNJ,The Hollies,10112715,1450461,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6waa8mKu91GjzD4NlONlNJ,Q282925,The Hollies,The Hollies,Q18125,Manchester,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,reported_place
54,Wham! [5lpH0xAS4fVfLkACg9DAuM],,5lpH0xAS4fVfLkACg9DAuM,Wham!,10018855,3400543,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,5lpH0xAS4fVfLkACg9DAuM,Q744087,Wham!,Wham!,Q10996,Bushey,male duo|musical duo,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,editorial_city_cluster
55,Two Door Cinema Club [536BYVgOnRky0xjsPT96zl],,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,9884423,2655723,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,536BYVgOnRky0xjsPT96zl,Q777302,Two Door Cinema Club,Two Door Cinema Club,Q806551,Bangor,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Bangor,reported_place
56,The Stranglers [0RUEHcBiENFEqxgicqS2ig],,0RUEHcBiENFEqxgicqS2ig,The Stranglers,9836875,862339,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0RUEHcBiENFEqxgicqS2ig,Q1532854,The Stranglers,The Stranglers,Q213465,Guildford,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Guildford,reported_place
57,Simple Minds [6hN9F0iuULZYWXppob22Aj],,6hN9F0iuULZYWXppob22Aj,Simple Minds,9628717,2504682,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6hN9F0iuULZYWXppob22Aj,Q748836,Simple Minds,Simple Minds,Q4093,Glasgow,musical group,Scotland,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Glasgow,reported_place
58,Bronski Beat [2wpWOzQE5TpA0dVnh5YD08],,2wpWOzQE5TpA0dVnh5YD08,Bronski Beat,9566679,730877,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2wpWOzQE5TpA0dVnh5YD08,Q927927,Bronski Beat,Bronski Beat,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
59,Seafret [4Ly0KABsxlx4fNj63zJTrF],,4Ly0KABsxlx4fNj63zJTrF,Seafret,9520023,1149369,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,4Ly0KABsxlx4fNj63zJTrF,Q28109766,Seafret,Seafret,Q527391,Bridlington,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Bridlington,reported_place
60,Genesis [3CkvROUTQ6nRi9yQOcsB50],,3CkvROUTQ6nRi9yQOcsB50,Genesis,9434858,3958098,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,3CkvROUTQ6nRi9yQOcsB50,Q151012,Genesis,Genesis,Q23276|Q909146,Godalming|Surrey,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Godalming,reviewed_multi_place_rule
61,Spandau Ballet [2urZrEdsq72kx0UzfYN8Yv],,2urZrEdsq72kx0UzfYN8Yv,Spandau Ballet,9335819,1587103,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,2urZrEdsq72kx0UzfYN8Yv,Q16011,Spandau Ballet,Spandau Ballet,Q205817,London Borough of Islington,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,editorial_city_cluster
62,UB40 [69MEO1AADKg1IZrq2XLzo5],,69MEO1AADKg1IZrq2XLzo5,UB40,9327767,2783787,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,69MEO1AADKg1IZrq2XLzo5,Q560153,UB40,UB40,Q2256,Birmingham,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Birmingham,reported_place
63,The Chemical Brothers [1GhPHrq36VKCY3ucVaZCfo],,1GhPHrq36VKCY3ucVaZCfo,The Chemical Brothers,9143502,2435363,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1GhPHrq36VKCY3ucVaZCfo,Q208507,The Chemical Brothers,The Chemical Brothers,Q18125,Manchester,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,reported_place
64,Simply Red [1fa0cOhromAZdq2xRA4vv8],,1fa0cOhromAZdq2xRA4vv8,Simply Red,9097250,2960800,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,1fa0cOhromAZdq2xRA4vv8,Q339430,Simply Red,Simply Red,Q18125,Manchester,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,reported_place
65,Jamiroquai [6J7biCazzYhU3gM9j1wfid],,6J7biCazzYhU3gM9j1wfid,Jamiroquai,9068742,3053662,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6J7biCazzYhU3gM9j1wfid,Q202041,Jamiroquai,Jamiroquai,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
66,Iron Maiden [6mdiAmATAx73kdxrNrnlao],,6mdiAmATAx73kdxrNrnlao,Iron Maiden,9029433,10931269,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6mdiAmATAx73kdxrNrnlao,Q42482,Iron Maiden,Iron Maiden,Q2750829,Leyton,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,editorial_city_cluster
67,Toploader [6xeFne1rkxMhKSW3ipvkdV],,6xeFne1rkxMhKSW3ipvkdV,Toploader,8829850,146489,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6xeFne1rkxMhKSW3ipvkdV,Q1742953,Toploader,Toploader,Q208262,Eastbourne,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Eastbourne,reported_place
68,New Order [0yNLKJebCb8Aueb54LYya3],,0yNLKJebCb8Aueb54LYya3,New Order,8786188,2651294,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,0yNLKJebCb8Aueb54LYya3,Q214990,New Order,New Order,Q47952,Salford,rock band,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Manchester,editorial_city_cluster
69,Massive Attack [6FXMGgJwohJLUSr5nVlf9X],,6FXMGgJwohJLUSr5nVlf9X,Massive Attack,8692931,2943616,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,6FXMGgJwohJLUSr5nVlf9X,Q357418,Massive Attack,Massive Attack,Q23154,Bristol,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,Bristol,reported_place
70,The Who [67ea9eGLXYMsO2eYQRui3w],,67ea9eGLXYMsO2eYQRui3w,The Who,8659112,6100346,0,2026-07-18T20:45:22.974241+00:00,Spotify web-player queryArtistOverview,undocumented read-only web-client endpoint,67ea9eGLXYMsO2eYQRui3w,Q93346,The Who,The Who,Q84,London,musical group,United Kingdom,,,,,True,accepted_exact_name,True,True,eligible_group_or_duo,True,False,False,London,reported_place
