band_name,study_city_label,affiliation_type,entity_id,entity_name,source
CHVRCHES,Glasgow,record_label,wd:Q203059,Virgin Records,Wikidata P264
CHVRCHES,Glasgow,record_label,wd:Q3771894,Glassnote Records,Wikidata P264
Joy Division,Manchester,record_label,wd:Q578943,Factory Records,Wikidata P264
The Fratellis,Glasgow,record_label,wd:Q190585,Island Records,Wikidata P264
The Fratellis,Glasgow,record_label,wd:Q231694,Interscope Records,Wikidata P264
The Fratellis,Glasgow,record_label,wd:Q3001888,"Sony BMG Music Entertainment, Inc.",Wikidata P264
Judas Priest,Birmingham,record_label,wd:Q216364,Epic Records,Wikidata P264
Judas Priest,Birmingham,record_label,wd:Q330629,Sony Music,Wikidata P264
Judas Priest,Birmingham,record_label,wd:Q56760250,Sony Music,Wikidata P264
T. Rex,London,record_label,wd:Q111031086,IL,Wikidata P264
T. Rex,London,record_label,wd:Q1397914,Fat Possum Records,Wikidata P264
T. Rex,London,record_label,wd:Q2137237,Regal Zonophone,Wikidata P264
T. Rex,London,record_label,wd:Q5463202,Fly Records,Wikidata P264
T. Rex,London,record_label,wd:Q645889,Reprise Records,Wikidata P264
Metronomy,Plymouth,record_label,wd:Q2740367,Because Music,Wikidata P264
Talk Talk,London,record_label,wd:Q1124849,Verve Records,Wikidata P264
Talk Talk,London,record_label,wd:Q155152,Polydor Records,Wikidata P264
Talk Talk,London,record_label,wd:Q183412,EMI,Wikidata P264
Talk Talk,London,record_label,wd:Q208909,Parlophone,Wikidata P264
Bananarama,London,record_label,wd:Q136549,ZYX Music,Wikidata P264
Bananarama,London,record_label,wd:Q2733913,Deram,Wikidata P264
Bananarama,London,record_label,wd:Q627091,Rhino Entertainment Company,Wikidata P264
Bananarama,London,record_label,wd:Q69529331,M6 Music Label,Wikidata P264
