popularity_rank,band_name,spotify_id,wikidata_qid,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,mapped_fua,musicbrainz_covered,wikidata_label_covered,network_degree,member_degree,label_degree,internal_degree,connected,member_connected,label_connected
182,Frankie Goes To Hollywood,1mZu3rO7qSD09GdDpePHhY,Q73597,960764,2758706,strict,UK006F,Liverpool,True,True,True,1,0,1,0,True,False,True
183,Atomic Kitten,6JMHws5haIO6V35YNYDnDw,Q208392,525204,2751716,strict,UK006F,Liverpool,True,True,True,11,1,10,0,True,True,True
186,The Waterboys,5TnuP42pw475UrjjeabtwZ,Q1422720,371425,2670888,strict,UK001F,London,True,False,True,9,0,9,5,True,False,True
187,S Club,0HNGrIbq1ZNO2mTp3tMW4L,Q500759,692814,2628603,strict,UK001F,London,True,False,True,35,0,35,21,True,False,True
188,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Q7617018,415092,2608941,strict,UK001F,London,True,True,True,3,0,3,0,True,False,True
189,Asking Alexandria,1caBfBEapzw8z2Qz9q0OaQ,Q731642,2530673,2592556,strict,UK533F,York,True,True,True,0,0,0,0,False,False,False
191,All Saints,5TDVKqW9uhqGjwwwKGuma4,Q165386,609132,2567281,strict,UK001F,London,True,True,True,1,0,1,0,True,False,True
192,Sigma,01pKrlgPJhm5dB4lneYAqS,Q16333772,360513,2550591,strict,UK003F,Leeds,True,True,True,3,0,3,0,True,False,True
194,Moloko,4aaBjq7VqqQvpSF69GglvO,Q1121732,516418,2507932,strict,UK010F,Sheffield,True,True,True,1,0,1,0,True,False,True
195,Status Quo,4gIdjgLlvgEOz7MexDZzpM,Q322265,872142,2503249,strict,UK001F,London,True,True,True,6,1,5,2,True,True,True
196,The Darkness,5r1bdqzhgRoHC3YcCV6N5a,Q421794,510654,2453090,strict,UK569F,Ipswich,True,True,True,26,0,26,0,True,False,True
