popularity_rank,band_name,spotify_id,wikidata_qid,followers,monthly_listeners,mapping_tier,fua_code,study_city_label,mapped_fua,musicbrainz_covered,wikidata_label_covered,network_degree,member_degree,label_degree,internal_degree,connected,member_connected,label_connected
89,The Human League,1aX2dmV8XoHYCOQRxjPESG,Q730158,1370364,6085844,strict,UK010F,Sheffield,True,True,True,74,2,73,2,True,True,True
91,AlunaGeorge,2VAnyOxzJuSAj7XIuEOT38,Q10353,456793,6010368,strict,UK001F,London,True,True,True,48,0,48,27,True,False,True
92,Portishead,6liAMWkVf5LH7YR9yfFy1Y,Q191352,2540792,5958911,strict,UK011F,Bristol,True,True,True,40,1,39,0,True,True,True
93,Frou Frou,6MUyqmIQ35inLjch0YzIEG,Q2629330,419619,5930276,strict,UK001F,London,True,True,True,38,0,38,23,True,False,True
94,Soft Cell,6aq8T2RcspxVOGgMrTzjWc,Q1329303,869007,5766246,strict,UK003F,Leeds,True,True,True,4,1,4,0,True,True,True
95,Stealers Wheel,7bPU7cvfoD20ixGD9Qnqki,Q283638,253056,5726001,strict,UK004F,Glasgow,True,True,True,16,1,15,2,True,True,True
96,Katrina & The Waves,2TzHIUhVpeeDxyJPpQfnV3,Q934582,171867,5671000,strict,UK017F,Cambridge,True,True,True,47,0,47,1,True,False,True
97,LF SYSTEM,0HxX6imltnNXJyQhu4nsiO,Q113022702,113693,5611864,strict,UK007F,Edinburgh,True,True,True,8,0,8,0,True,False,True
98,Everything But The Girl,13ccXrK7AmXb4TddMkE7jy,Q313779,480010,5607393,strict,UK026F,Hull,True,True,True,32,0,32,0,True,False,True
99,The La's,47Z8LEl3LnQkcpva0xSthT,Q1860769,320009,5581915,strict,UK006F,Liverpool,True,True,True,5,4,1,3,True,True,True
