band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Coldplay,London,Queen,London,,0,Capitol Records|Parlophone,2,2,True
Coldplay,London,Radiohead,Oxford,,0,Capitol Records|Parlophone,2,2,False
Coldplay,London,Supergrass,Oxford,,0,Capitol Records|Parlophone,2,2,False
Coldplay,London,The Beatles,Liverpool,,0,Capitol Records|Parlophone,2,2,False
Coldplay,London,The Hollies,Manchester,,0,Capitol Records|Parlophone,2,2,False
Cream,London,Hawkwind,London,Ginger Baker,1,Atco Records,1,2,True
Cream,London,The Who,London,,0,Atco Records|Polydor Records,2,2,True
Current 93,London,Psychic TV,London,David Tibet|John Balance,2,,0,2,True
Deacon Blue,Glasgow,Gentle Giant,London,,0,Chrysalis Records|Columbia Records,2,2,False
Deacon Blue,Glasgow,Ten Years After,Nottingham,,0,Chrysalis Records|Columbia Records,2,2,False
Dead Or Alive,Liverpool,The Vibrators,London,,0,Cleopatra Records|Epic Records,2,2,False
Deep Purple,London,Katrina & The Waves,Cambridge,,0,EMI|Warner Music Group,2,2,False
Deep Purple,London,Queen,London,,0,EMI|EMI Records,2,2,True
Deep Purple,London,Talk Talk,London,,0,EMI|Polydor Records,2,2,True
Deep Purple,London,The Rolling Stones,London,,0,Polydor Records|Warner Music Group,2,2,True
Deep Purple,London,The Who,London,,0,Polydor Records|Warner Bros. Records,2,2,True
Deep Purple,London,Wizzard,Birmingham,,0,EMI|Warner Bros. Records,2,2,False
Demon,Stoke-on-Trent,Discharge,Stoke-on-Trent,Nick Bushell|Steve Brookes,2,,0,2,True
Depeche Mode,London,Jethro Tull,Luton,,0,EMI|Reprise Records,2,2,False
Depeche Mode,London,Katrina & The Waves,Cambridge,,0,Capitol Records|EMI,2,2,False
Depeche Mode,London,New Order,Manchester,,0,Mute Records|Reprise Records,2,2,False
Depeche Mode,London,Oasis,Manchester,,0,Columbia Records|Reprise Records,2,2,False
Depeche Mode,London,Placebo,London,,0,EMI|Virgin Records,2,2,True
Depeche Mode,London,Queen,London,,0,Capitol Records|EMI,2,2,True
Depeche Mode,London,Sex Pistols,London,,0,EMI|Virgin Records,2,2,True
Depeche Mode,London,Spice Girls,London,,0,EMI|Virgin Records,2,2,True
Depeche Mode,London,Starsailor,Manchester,,0,EMI|Virgin Records,2,2,False
Depeche Mode,London,Supergrass,Oxford,,0,Capitol Records|EMI,2,2,False
Depeche Mode,London,The Dave Clark Five,London,,0,Capitol Records|Columbia Records,2,2,True
Depeche Mode,London,The Human League,Sheffield,,0,EMI|Virgin Records,2,2,False
Depeche Mode,London,The Magic Numbers,London,,0,Capitol Records|EMI,2,2,True
Depeche Mode,London,The Rolling Stones,London,,0,Columbia Records|Virgin Records,2,2,True
Depeche Mode,London,Yazoo,London,Vince Clarke,1,Mute Records,1,2,True
Disclosure,London,Florence + The Machine,London,,0,Island Records|Moshi Moshi Records,2,2,True
Disclosure,London,NERO,London,,0,Cherrytree Records|Interscope Records,2,2,True
Disclosure,London,Sugababes,London,,0,Interscope Records|Island Records,2,2,True
Disclosure,London,The Fratellis,Glasgow,,0,Interscope Records|Island Records,2,2,False
Duran Duran,Birmingham,Fleetwood Mac,London,,0,Epic Records|Warner Bros. Records,2,2,False
Duran Duran,Birmingham,Iron Maiden,London,,0,Capitol Records|Epic Records,2,2,False
Duran Duran,Birmingham,The Dave Clark Five,London,,0,Capitol Records|Epic Records,2,2,False
Duran Duran,Birmingham,The Hollies,Manchester,,0,Capitol Records|Epic Records,2,2,False
Electronic,Manchester,Joy Division,Manchester,Bernard Sumner,1,Factory Records,1,2,True
Electronic,Manchester,New Order,Manchester,Bernard Sumner,1,Factory Records,1,2,True
Fairport Convention,London,Free,London,,0,A&M Records|Island Records,2,2,True
Fairport Convention,London,Procol Harum,London,,0,A&M Records|Island Records,2,2,True
Felt,Birmingham,Primal Scream,Glasgow,Martin Duffy,1,Creation Records,1,2,False
Fields Of The Nephilim,Stevenage,The Cult,Leeds,,0,Beggars Banquet Records|Situation Two,2,2,False
Fleetwood Mac,London,Jamiroquai,London,,0,Columbia Records|Epic Records,2,2,True
Fleetwood Mac,London,Motörhead,London,,0,Epic Records|Sanctuary Records,2,2,True
Fleetwood Mac,London,New Order,Manchester,,0,Reprise Records|Warner Bros. Records,2,2,False
Fleetwood Mac,London,Pentangle,London,,0,Reprise Records|Warner Bros. Records,2,2,True
Fleetwood Mac,London,Savoy Brown,London,Bob Brunning|Dave Walker,2,,0,2,True
Fleetwood Mac,London,The Dave Clark Five,London,,0,Columbia Records|Epic Records,2,2,True
Fleetwood Mac,London,Wham!,London,,0,Columbia Records|Epic Records,2,2,True
Fleetwood Mac,London,lostprophets,Cardiff,,0,Columbia Records|Epic Records,2,2,False
Free,London,Procol Harum,London,,0,A&M Records|Island Records,2,2,True
Gang Of Four,Leeds,Queen,London,,0,EMI|EMI Records,2,2,False
Gang Of Four,Leeds,Wizzard,Birmingham,,0,EMI|Warner Bros. Records,2,2,False
Genesis,Guildford,Hawkwind,London,,0,Atco Records|Charisma,2,2,False
Genesis,Guildford,Led Zeppelin,London,,0,Atlantic Records|Decca,2,2,False
Genesis,Guildford,Small Faces,London,,0,Atlantic Records|Decca,2,2,False
Genesis,Guildford,The Rolling Stones,London,,0,Atlantic Records|Decca,2,2,False
Genesis,Guildford,The Who,London,,0,Atco Records|Decca,2,2,False
Genesis,Guildford,Yes,London,,0,Atco Records|Atlantic Records,2,2,False
Gentle Giant,London,Ten Years After,Nottingham,,0,Chrysalis Records|Columbia Records,2,2,False
Girls Aloud,London,The Saturdays,London,,0,Fascination Records|Polydor Records,2,2,True
Godflesh,Birmingham,Napalm Death,Birmingham,Justin Broadrick,1,Earache Records,1,2,True
Gorillaz,London,Sex Pistols,London,,0,Virgin Records|Warner Bros. Records,2,2,True
Gun,Glasgow,Simple Minds,Glasgow,Mark Kerr,1,A&M Records,1,2,True
Hawkwind,London,The Spencer Davis Group,Birmingham,,0,Atco Records|United Artists Records,2,2,False
