band_a,city_a,band_b,city_b,shared_members,shared_member_count,shared_labels,shared_label_count,connection_count,same_city
Supergrass,Oxford,The Beatles,Liverpool,,0,Capitol Records|Parlophone,2,2,False
Supergrass,Oxford,The Hollies,Manchester,,0,Capitol Records|Parlophone,2,2,False
Supergrass,Oxford,The Magic Numbers,London,,0,Capitol Records|EMI,2,2,False
Supertramp,London,Uriah Heep,London,Keith Baker,1,Chrysalis Records,1,2,True
T. Rex,London,The Move,Birmingham,,0,Fly Records|IL,2,2,False
Talk Talk,London,The Beatles,Liverpool,,0,Parlophone|Polydor Records,2,2,False
Ten Years After,Nottingham,The Animals,Newcastle,,0,Columbia Records|Decca,2,2,False
Ten Years After,Nottingham,The Moody Blues,Birmingham,,0,Decca|Deram,2,2,False
Ten Years After,Nottingham,The Rolling Stones,London,,0,Columbia Records|Decca,2,2,False
Ten Years After,Nottingham,The Zombies,London,,0,Columbia Records|Decca,2,2,False
Ten Years After,Nottingham,Them,Belfast,,0,Decca|Deram,2,2,False
The 1975,Manchester,The Rolling Stones,London,,0,Interscope Records|Polydor Records,2,2,False
The Animals,Newcastle,The Who,London,,0,Atco Records|Decca,2,2,False
The Animals,Newcastle,The Yardbirds,London,,0,Charly Records|Columbia Records,2,2,False
The Animals,Newcastle,The Zombies,London,,0,Columbia Records|Decca,2,2,False
The Animals,Newcastle,Wishbone Ash,Torbay,,0,Decca|I.R.S. Records,2,2,False
The Animals,Newcastle,Yes,London,,0,Atco Records|Atlantic Records,2,2,False
The Associates,Dundee City,The Cure,Crawley,Michael Dempsey,1,Fiction Records,1,2,False
The Beatles,Liverpool,The Hollies,Manchester,,0,Capitol Records|Parlophone,2,2,False
The Beatles,Liverpool,The Sweet,London,,0,Capitol Records|Polydor Records,2,2,False
The Buggles,London,Yes,London,Geoff Downes|Trevor Horn,2,,0,2,True
The Clash,London,lostprophets,Cardiff,,0,Columbia Records|Sony Music,2,2,False
The Colourfield,Coventry,The Specials,Coventry,Terry Hall,1,Chrysalis Records,1,2,True
The Cure,Crawley,The Style Council,London,,0,Geffen Records|Polydor Records,2,2,False
The Damned,London,Wishbone Ash,Torbay,,0,I.R.S. Records|MCA Records,2,2,False
The Dave Clark Five,London,The Hollies,Manchester,,0,Capitol Records|Epic Records,2,2,False
The Dave Clark Five,London,Wham!,London,,0,Columbia Records|Epic Records,2,2,True
The Dave Clark Five,London,lostprophets,Cardiff,,0,Columbia Records|Epic Records,2,2,False
The Durutti Column,Manchester,The Wake,Glasgow,,0,Factory Benelux|Factory Records,2,2,False
The Exploited,Edinburgh,U.K. Subs,London,Deptford John|Steve Roberts,2,,0,2,False
The Human League,Sheffield,XTC,Swindon,,0,Caroline Records|Virgin Records,2,2,False
The Jam,London,The Style Council,London,Paul Weller,1,Polydor Records,1,2,True
The Kinks,London,The Moody Blues,Birmingham,,0,London Records|Universal Music Group,2,2,False
The Kinks,London,The Rolling Stones,London,Mick Avory,1,London Records,1,2,True
The Kinks,London,Wishbone Ash,Torbay,Andy Pyle,1,MCA Records,1,2,False
The Moody Blues,Birmingham,The Who,London,,0,Decca|Polydor Records,2,2,False
The Moody Blues,Birmingham,Them,Belfast,,0,Decca|Deram,2,2,False
The Move,Birmingham,Wizzard,Birmingham,Rick Price|Roy Wood,2,,0,2,True
The Rolling Stones,London,The Who,London,,0,Decca|Polydor Records,2,2,True
The Rolling Stones,London,The Zombies,London,,0,Columbia Records|Decca,2,2,True
The Selecter,Coventry,The Specials,Coventry,John Bradbury,1,2 Tone Records,1,2,True
The Spencer Davis Group,Birmingham,The Troggs,Southampton,,0,Atco Records|Fontana Records,2,2,False
The Spencer Davis Group,Birmingham,Traffic,Birmingham,Steve Winwood,1,Island Records,1,2,True
The Stranglers,Guildford,The Vibrators,London,John Ellis,1,Epic Records,1,2,False
UFO,London,Uriah Heep,London,John Sloman,1,Chrysalis Records,1,2,True
UFO,London,Whitesnake,Middlesbrough,Aynsley Dunbar|Bernie Marsden,2,,0,2,False
Uriah Heep,London,Wishbone Ash,Torbay,John Wetton|Trevor Bolder,2,,0,2,False
Wham!,London,lostprophets,Cardiff,,0,Columbia Records|Epic Records,2,2,False
10cc,Manchester,Jethro Tull,Luton,Paul Burgess,1,,0,1,False
10cc,Manchester,Manfred Mann's Earth Band,London,Geoff Dunn,1,,0,1,False
10cc,Manchester,Pilot,Edinburgh,Stuart Tosh,1,,0,1,False
10cc,Manchester,Steve Harley & Cockney Rebel,London,Duncan Mackay,1,,0,1,False
10cc,Manchester,The Icicle Works,Liverpool,Paul Burgess,1,,0,1,False
999,London,Badfinger,Swansea,,0,United Artists Records,1,1,False
999,London,Hawkwind,London,,0,United Artists Records,1,1,True
999,London,Sweet Sensation,Manchester,,0,United Artists Records,1,1,False
999,London,The Beatles,Liverpool,,0,United Artists Records,1,1,False
999,London,The Spencer Davis Group,Birmingham,,0,United Artists Records,1,1,False
999,London,The Stranglers,Guildford,,0,United Artists Records,1,1,False
999,London,The Vapors,Guildford,,0,United Artists Records,1,1,False
A Certain Ratio,Manchester,Electronic,Manchester,,0,Factory Records,1,1,True
A Certain Ratio,Manchester,Felt,Birmingham,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,Happy Mondays,Manchester,,0,Factory Records,1,1,True
A Certain Ratio,Manchester,Joy Division,Manchester,,0,Factory Records,1,1,True
A Certain Ratio,Manchester,Oasis,Manchester,,0,Creation Records,1,1,True
A Certain Ratio,Manchester,Orchestral Manoeuvres In The Dark,Liverpool,,0,Factory Records,1,1,False
A Certain Ratio,Manchester,Ride,Oxford,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,Saint Etienne,London,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,Slowdive,Reading,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,Super Furry Animals,Cardiff,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,Swervedriver,Oxford,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,Swing Out Sister,Manchester,Andy Connell,1,,0,1,True
A Certain Ratio,Manchester,Teenage Fanclub,Glasgow,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,The Boo Radleys,Liverpool,,0,Creation Records,1,1,False
A Certain Ratio,Manchester,The Jesus and Mary Chain,Glasgow,,0,Creation Records,1,1,False
A Flock Of Seagulls,Liverpool,JLS,London,,0,Jive Records,1,1,False
A Flock Of Seagulls,Liverpool,Steps,London,,0,Jive Records,1,1,False
A1,London,AlunaGeorge,London,,0,Universal Music Group,1,1,True
A1,London,Band Of Skulls,Southampton,,0,Universal Music Group,1,1,False
A1,London,Black Sabbath,Birmingham,,0,Universal Music Group,1,1,False
A1,London,Kaiser Chiefs,Leeds,,0,Universal Music Group,1,1,False
A1,London,Lighthouse Family,Newcastle,,0,Universal Music Group,1,1,False
A1,London,Mumford & Sons,London,,0,Universal Music Group,1,1,True
A1,London,One Direction,London,,0,Universal Music Group,1,1,True
A1,London,Sex Pistols,London,,0,Universal Music Group,1,1,True
A1,London,The Kinks,London,,0,Universal Music Group,1,1,True
A1,London,The Moody Blues,Birmingham,,0,Universal Music Group,1,1,False
A1,London,The Ordinary Boys,Worthing,,0,Universal Music Group,1,1,False
ABC,Sheffield,Angel Witch,London,,0,EMI,1,1,False
ABC,Sheffield,Atomic Kitten,Liverpool,,0,EMI,1,1,False
ABC,Sheffield,Dexys Midnight Runners,Birmingham,,0,EMI,1,1,False
ABC,Sheffield,Edgar Broughton Band,Coventry,John Wesley Barker,1,,0,1,False
ABC,Sheffield,Eternal,London,,0,EMI,1,1,False
ABC,Sheffield,Heaven 17,Sheffield,John Wesley Barker,1,,0,1,True
ABC,Sheffield,Hot Chip,London,,0,EMI,1,1,False
ABC,Sheffield,Iron Maiden,London,,0,EMI,1,1,False
ABC,Sheffield,New Model Army,Leeds,,0,EMI,1,1,False
ABC,Sheffield,Saxon,Sheffield,,0,EMI,1,1,True
ABC,Sheffield,Simply Red,Manchester,Dave Clayton,1,,0,1,False
ABC,Sheffield,Steve Harley & Cockney Rebel,London,,0,EMI,1,1,False
ABC,Sheffield,The Vamps,London,,0,EMI,1,1,False
Ace,Sheffield,Squeeze,London,Paul Carrack,1,,0,1,False
Acoustic Alchemy,London,Camel,Guildford,,0,MCA Records,1,1,False
Acoustic Alchemy,London,Diamond Head,Birmingham,,0,MCA Records,1,1,False
Acoustic Alchemy,London,The Damned,London,,0,MCA Records,1,1,True
Acoustic Alchemy,London,The Fixx,London,,0,MCA Records,1,1,True
Acoustic Alchemy,London,The Kinks,London,,0,MCA Records,1,1,True
Acoustic Alchemy,London,Wishbone Ash,Torbay,,0,MCA Records,1,1,False
After The Fire,London,Bring Me The Horizon,Sheffield,,0,Columbia Records,1,1,False
After The Fire,London,Cathedral,Coventry,,0,Columbia Records,1,1,False
After The Fire,London,Catherine Wheel,Great Yarmouth,,0,Columbia Records,1,1,False
After The Fire,London,Deacon Blue,Glasgow,,0,Columbia Records,1,1,False
After The Fire,London,Depeche Mode,London,,0,Columbia Records,1,1,True
After The Fire,London,Fleetwood Mac,London,,0,Columbia Records,1,1,True
After The Fire,London,Gentle Giant,London,,0,Columbia Records,1,1,True
After The Fire,London,Glasvegas,Glasgow,,0,Columbia Records,1,1,False
After The Fire,London,Groove Armada,London,,0,Columbia Records,1,1,True
After The Fire,London,Herman's Hermits,Manchester,,0,Columbia Records,1,1,False
After The Fire,London,Jamiroquai,London,,0,Columbia Records,1,1,True
After The Fire,London,Kula Shaker,London,,0,Columbia Records,1,1,True
After The Fire,London,Little Mix,London,,0,Columbia Records,1,1,True
After The Fire,London,London Grammar,Nottingham,,0,Columbia Records,1,1,False
After The Fire,London,Magnetic Man,London,,0,Columbia Records,1,1,True
After The Fire,London,Manic Street Preachers,Cardiff,,0,Columbia Records,1,1,False
After The Fire,London,Mumm-ra,Hastings,,0,Columbia Records,1,1,False
After The Fire,London,Oasis,Manchester,,0,Columbia Records,1,1,False
After The Fire,London,One Direction,London,,0,Columbia Records,1,1,True
After The Fire,London,Pink Floyd,London,,0,Columbia Records,1,1,True
After The Fire,London,Seafret,Hull,,0,Columbia Records,1,1,False
After The Fire,London,Suede,London,,0,Columbia Records,1,1,True
After The Fire,London,Ten Years After,Nottingham,,0,Columbia Records,1,1,False
After The Fire,London,The Animals,Newcastle,,0,Columbia Records,1,1,False
After The Fire,London,The Clash,London,,0,Columbia Records,1,1,True
After The Fire,London,The Dave Clark Five,London,,0,Columbia Records,1,1,True
After The Fire,London,The Orb,London,,0,Columbia Records,1,1,True
After The Fire,London,The Outfield,Manchester,,0,Columbia Records,1,1,False
After The Fire,London,The Psychedelic Furs,London,,0,Columbia Records,1,1,True
After The Fire,London,The Rolling Stones,London,,0,Columbia Records,1,1,True
After The Fire,London,The Ting Tings,Manchester,,0,Columbia Records,1,1,False
After The Fire,London,The Vaccines,London,,0,Columbia Records,1,1,True
After The Fire,London,The Yardbirds,London,,0,Columbia Records,1,1,True
After The Fire,London,The Zombies,London,,0,Columbia Records,1,1,True
After The Fire,London,Wham!,London,,0,Columbia Records,1,1,True
After The Fire,London,lostprophets,Cardiff,,0,Columbia Records,1,1,False
Alisha's Attic,London,Big Country,Edinburgh,,0,Mercury Records,1,1,False
Alisha's Attic,London,Black Sabbath,Birmingham,,0,Mercury Records,1,1,False
Alisha's Attic,London,Chase & Status,London,,0,Mercury Records,1,1,True
Alisha's Attic,London,Def Leppard,Sheffield,,0,Mercury Records,1,1,False
Alisha's Attic,London,Godley & Creme,Manchester,,0,Mercury Records,1,1,False
Alisha's Attic,London,Honeyz,London,,0,Mercury Records,1,1,True
Alisha's Attic,London,Jamiroquai,London,,0,Mercury Records,1,1,True
Alisha's Attic,London,Lamb,Manchester,,0,Mercury Records,1,1,False
Alisha's Attic,London,Noah And The Whale,London,,0,Mercury Records,1,1,True
Alisha's Attic,London,Rainbow,London,,0,Mercury Records,1,1,True
Alisha's Attic,London,Sky,London,,0,Mercury Records,1,1,True
Alisha's Attic,London,Swing Out Sister,Manchester,,0,Mercury Records,1,1,False
Alisha's Attic,London,Tears For Fears,Bath and North East Somerset,,0,Mercury Records,1,1,False
Alisha's Attic,London,Texas,Glasgow,,0,Mercury Records,1,1,False
Alisha's Attic,London,The Beautiful South,Hull,,0,Universal Records,1,1,False
Alisha's Attic,London,The Vamps,London,,0,Mercury Records,1,1,True
Alisha's Attic,London,Van Der Graaf Generator,Manchester,,0,Mercury Records,1,1,False
Alisha's Attic,London,Yuck,London,,0,Mercury Records,1,1,True
All Saints,London,Frankie Goes To Hollywood,Liverpool,,0,ZTT Records,1,1,False
Altered Images,Glasgow,Apollo 440,Liverpool,,0,Epic Records,1,1,False
Altered Images,Glasgow,Argent,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Bay City Rollers,Edinburgh,,0,Epic Records,1,1,False
Altered Images,Glasgow,Culture Club,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Dead Or Alive,Liverpool,,0,Epic Records,1,1,False
Altered Images,Glasgow,Duran Duran,Birmingham,,0,Epic Records,1,1,False
Altered Images,Glasgow,Five Star,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Fleetwood Mac,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Iron Maiden,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,JLS,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Jamiroquai,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Judas Priest,Birmingham,,0,Epic Records,1,1,False
Altered Images,Glasgow,Motörhead,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,New Model Army,Leeds,,0,Epic Records,1,1,False
Altered Images,Glasgow,Oasis,Manchester,,0,Epic Records,1,1,False
Altered Images,Glasgow,Sade,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Skunk Anansie,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Sky,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Slade,Birmingham,,0,Epic Records,1,1,False
Altered Images,Glasgow,Spandau Ballet,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Super Furry Animals,Cardiff,,0,Epic Records,1,1,False
Altered Images,Glasgow,Tears For Fears,Bath and North East Somerset,,0,Epic Records,1,1,False
Altered Images,Glasgow,Texas,Glasgow,Johnny McElhone,1,,0,1,True
Altered Images,Glasgow,The Dave Clark Five,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,The Hollies,Manchester,,0,Epic Records,1,1,False
Altered Images,Glasgow,The Stranglers,Guildford,,0,Epic Records,1,1,False
Altered Images,Glasgow,The Vibrators,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,Travis,Glasgow,,0,Epic Records,1,1,True
Altered Images,Glasgow,Wham!,London,,0,Epic Records,1,1,False
Altered Images,Glasgow,lostprophets,Cardiff,,0,Epic Records,1,1,False
AlunaGeorge,London,Archive,London,,0,Island Records,1,1,True
AlunaGeorge,London,Bad Company,London,,0,Island Records,1,1,True
AlunaGeorge,London,Band Of Skulls,Southampton,,0,Universal Music Group,1,1,False
AlunaGeorge,London,Black Sabbath,Birmingham,,0,Universal Music Group,1,1,False
AlunaGeorge,London,Blind Faith,Guildford,,0,Island Records,1,1,False
AlunaGeorge,London,Bombay Bicycle Club,London,,0,Island Records,1,1,True
AlunaGeorge,London,Busted,London,,0,Island Records,1,1,True
AlunaGeorge,London,Def Leppard,Sheffield,,0,Island Records,1,1,False
AlunaGeorge,London,Disclosure,London,,0,Island Records,1,1,True
AlunaGeorge,London,Fairport Convention,London,,0,Island Records,1,1,True
AlunaGeorge,London,Fightstar,London,,0,Island Records,1,1,True
AlunaGeorge,London,Florence + The Machine,London,,0,Island Records,1,1,True
AlunaGeorge,London,Free,London,,0,Island Records,1,1,True
AlunaGeorge,London,Frou Frou,London,,0,Island Records,1,1,True
AlunaGeorge,London,Jethro Tull,Luton,,0,Island Records,1,1,False
AlunaGeorge,London,Kaiser Chiefs,Leeds,,0,Universal Music Group,1,1,False
AlunaGeorge,London,Keane,Hastings,,0,Island Records,1,1,False
AlunaGeorge,London,Killing Joke,London,,0,Island Records,1,1,True
AlunaGeorge,London,Lighthouse Family,Newcastle,,0,Universal Music Group,1,1,False
AlunaGeorge,London,New Young Pony Club,London,,0,Island Records,1,1,True
AlunaGeorge,London,Nine Black Alps,Manchester,,0,Island Records,1,1,False
AlunaGeorge,London,Oh Wonder,London,,0,Island Records,1,1,True
AlunaGeorge,London,One Direction,London,,0,Universal Music Group,1,1,True
AlunaGeorge,London,Portishead,Bristol,,0,Island Records,1,1,False
AlunaGeorge,London,Procol Harum,London,,0,Island Records,1,1,True
AlunaGeorge,London,Pulp,Sheffield,,0,Island Records,1,1,False
AlunaGeorge,London,Puressence,Manchester,,0,Island Records,1,1,False
AlunaGeorge,London,Queen,London,,0,Island Records,1,1,True
AlunaGeorge,London,Sex Pistols,London,,0,Universal Music Group,1,1,True
AlunaGeorge,London,Steel Pulse,Birmingham,,0,Island Records,1,1,False
AlunaGeorge,London,Sugababes,London,,0,Island Records,1,1,True
AlunaGeorge,London,The Buggles,London,,0,Island Records,1,1,True
AlunaGeorge,London,The Fratellis,Glasgow,,0,Island Records,1,1,False
AlunaGeorge,London,The Incredible String Band,Edinburgh,,0,Island Records,1,1,False
AlunaGeorge,London,The Kinks,London,,0,Universal Music Group,1,1,True
AlunaGeorge,London,The Moody Blues,Birmingham,,0,Universal Music Group,1,1,False
AlunaGeorge,London,The Orb,London,,0,Island Records,1,1,True
AlunaGeorge,London,The Ordinary Boys,Worthing,,0,Universal Music Group,1,1,False
AlunaGeorge,London,The Rumble Strips,Plymouth,,0,Island Records,1,1,False
AlunaGeorge,London,The Slits,London,,0,Island Records,1,1,True
AlunaGeorge,London,The Spencer Davis Group,Birmingham,,0,Island Records,1,1,False
AlunaGeorge,London,The Wedding Present,Leeds,,0,Island Records,1,1,False
AlunaGeorge,London,Traffic,Birmingham,,0,Island Records,1,1,False
AlunaGeorge,London,Ultravox,London,,0,Island Records,1,1,True
Ambrosian Singers,London,Angelic Upstarts,Newcastle,,0,EMI,1,1,False
Ambrosian Singers,London,Babylon Zoo,Birmingham,,0,EMI,1,1,False
Ambrosian Singers,London,Blur,London,,0,EMI,1,1,True
Ambrosian Singers,London,Camel,Guildford,,0,Decca,1,1,False
Ambrosian Singers,London,Chumbawamba,Burnley,,0,EMI,1,1,False
Ambrosian Singers,London,Climie Fisher,London,,0,EMI,1,1,True
Ambrosian Singers,London,Cock Sparrer,London,,0,Decca,1,1,True
Ambrosian Singers,London,Cockney Rejects,London,,0,EMI,1,1,True
Ambrosian Singers,London,Deep Purple,London,,0,EMI,1,1,True
Ambrosian Singers,London,Depeche Mode,London,,0,EMI,1,1,True
Ambrosian Singers,London,Fields Of The Nephilim,Stevenage,,0,EMI,1,1,False
Ambrosian Singers,London,Gang Of Four,Leeds,,0,EMI,1,1,False
Ambrosian Singers,London,Genesis,Guildford,,0,Decca,1,1,False
Ambrosian Singers,London,Heaven 17,Sheffield,,0,EMI,1,1,False
Ambrosian Singers,London,Jethro Tull,Luton,,0,EMI,1,1,False
Ambrosian Singers,London,Katrina & The Waves,Cambridge,,0,EMI,1,1,False
Ambrosian Singers,London,Led Zeppelin,London,,0,Decca,1,1,True
Ambrosian Singers,London,Manfred Mann's Earth Band,London,,0,Philips Records,1,1,True
Ambrosian Singers,London,Massive Attack,Bristol,,0,EMI,1,1,False
Ambrosian Singers,London,Pink Floyd,London,,0,EMI,1,1,True
Ambrosian Singers,London,Placebo,London,,0,EMI,1,1,True
Ambrosian Singers,London,Queen,London,,0,EMI,1,1,True
Ambrosian Singers,London,Savoy Brown,London,,0,Decca,1,1,True
Ambrosian Singers,London,Sex Pistols,London,,0,EMI,1,1,True
Ambrosian Singers,London,Small Faces,London,,0,Decca,1,1,True
Ambrosian Singers,London,Spice Girls,London,,0,EMI,1,1,True
Ambrosian Singers,London,Starsailor,Manchester,,0,EMI,1,1,False
Ambrosian Singers,London,Supergrass,Oxford,,0,EMI,1,1,False
Ambrosian Singers,London,Talk Talk,London,,0,EMI,1,1,True
Ambrosian Singers,London,Ten Years After,Nottingham,,0,Decca,1,1,False
Ambrosian Singers,London,Terrorvision,Leeds,,0,EMI,1,1,False
Ambrosian Singers,London,The Animals,Newcastle,,0,Decca,1,1,False
Ambrosian Singers,London,The Escape Club,London,,0,EMI,1,1,True
Ambrosian Singers,London,The Human League,Sheffield,,0,EMI,1,1,False
Ambrosian Singers,London,The Magic Numbers,London,,0,EMI,1,1,True
Ambrosian Singers,London,The Moody Blues,Birmingham,,0,Decca,1,1,False
Ambrosian Singers,London,The Quireboys,London,,0,EMI,1,1,True
Ambrosian Singers,London,The Rolling Stones,London,,0,Decca,1,1,True
Ambrosian Singers,London,The Shapeshifters,London,,0,EMI,1,1,True
Ambrosian Singers,London,The Stranglers,Guildford,,0,EMI,1,1,False
