capture_key,spotify_id,wikidata_qid,band_name,spotify_expected_name,formation_qid,formation_label,instance_label,country_label
Black Sabbath [5M52tdBnJaKSvOpJGz8mfZ],5M52tdBnJaKSvOpJGz8mfZ,Q47670,Black Sabbath,Black Sabbath,Q2256,Birmingham,heavy metal band,United Kingdom
Black Tongue [5vTCEZ15eybRnoqUAra4Ys],5vTCEZ15eybRnoqUAra4Ys,Q19689005,Black Tongue,Black Tongue,Q128147,Kingston upon Hull,musical group,United Kingdom
Blackfield [3xrzXKnScjOEoy172vsJMW],3xrzXKnScjOEoy172vsJMW,Q880812,Blackfield,Blackfield,Q21,England,musical group,United Kingdom
Blakfish [6WIyY7r67GHddsabdqJQ8K],6WIyY7r67GHddsabdqJQ8K,Q4924656,Blakfish,Blakfish,Q2256,Birmingham,musical ensemble,United Kingdom
Blanck Mass [73LvjicByRK5LazcQYZMAY],73LvjicByRK5LazcQYZMAY,Q4924928,Blanck Mass,Blanck Mass,Q1646181,Worcester,side project,United Kingdom
Blancmange [3LtBdgNHdH0Ix8hCFZ4NJG],3LtBdgNHdH0Ix8hCFZ4NJG,Q594199,Blancmange,Blancmange,Q54961,Harrow,male duo|musical duo,United Kingdom
Blazin' Squad [5dEFm1RwaTSXpQSpzpYKF2],5dEFm1RwaTSXpQSpzpYKF2,Q444431,Blazin' Squad,Blazin' Squad,Q3778007,Chingford,musical group,United Kingdom
Bleed From Within [5ZvwJikDgdP1PFU4PkAPVG],5ZvwJikDgdP1PFU4PkAPVG,Q883441,Bleed From Within,Bleed From Within,Q4093,Glasgow,musical group,United Kingdom
Blind Faith [5GUVj2b1lJ4DolQyHlzyaO],5GUVj2b1lJ4DolQyHlzyaO,Q548656,Blind Faith,Blind Faith,Q2337139,Ripley,musical group,United Kingdom
Bloc Party [3MM8mtgFzaEJsqbjZBSsHJ],3MM8mtgFzaEJsqbjZBSsHJ,Q205838,Bloc Party,Bloc Party,Q84,London,rock band,United Kingdom
Blockster [5jQ8ycx2c3SRpJljOiqIbF],5jQ8ycx2c3SRpJljOiqIbF,Q124850285,Blockster,Blockster,,,musical group,United Kingdom
Blossoms [22RISwgVJyZu9lpqAcv1F5],22RISwgVJyZu9lpqAcv1F5,Q23057702,Blossoms,Blossoms,Q18655,Stockport,musical group,United Kingdom
Blu Mar Ten [5mGqZFvzU9FRNkcI3Y0A2V],5mGqZFvzU9FRNkcI3Y0A2V,Q4928657,Blu Mar Ten,Blu Mar Ten,,,musical group,United Kingdom
Blue [2yEkZBBjhzKzt6LF5XMaFi],2yEkZBBjhzKzt6LF5XMaFi,Q32825,Blue,Blue,Q84,London,musical group|organization,United Kingdom
Blue Zoo [7xh7pIwH1MTZtVH7i9hiKY],7xh7pIwH1MTZtVH7i9hiKY,Q4930041,Blue Zoo,Blue Zoo,,,musical group,United Kingdom
Blueboy [0arZTC10n2y1hVMZfRV6Xn],0arZTC10n2y1hVMZfRV6Xn,Q4930275,Blueboy,Blueboy,Q161491,Reading,musical group,United Kingdom
Blur [7MhMgCo0Bl0Kukl93PZbYS],7MhMgCo0Bl0Kukl93PZbYS,Q485820,Blur,Blur,Q84,London,musical group,United Kingdom
Boards of Canada [2VAvhf61GgLYmC6C8anyX1],2VAvhf61GgLYmC6C8anyX1,Q722778,Boards of Canada,Boards of Canada,Q23436,Edinburgh,musical duo|musical group,United Kingdom
Bob Vylan [6XgIk9Y6qy6JCMZVime6DQ],6XgIk9Y6qy6JCMZVime6DQ,Q111685240,Bob Vylan,Bob Vylan,Q84,London,musical duo,United Kingdom
Bolt Thrower [3EbMlZ7ZKmFWPTHrLzpzvs],3EbMlZ7ZKmFWPTHrLzpzvs,Q662463,Bolt Thrower,Bolt Thrower,Q6225,Coventry,musical group,United Kingdom
Bomb the Bass [1G3Eh23f2hwhEnAMw7HsZ6],1G3Eh23f2hwhEnAMw7HsZ6,Q891757,Bomb the Bass,Bomb the Bass,,,musical group,United Kingdom
Bombay Bicycle Club [3pTE9iaJTkWns3mxpNQlJV],3pTE9iaJTkWns3mxpNQlJV,Q891829,Bombay Bicycle Club,Bombay Bicycle Club,Q24502,Crouch End,musical group,United Kingdom
Bon Music Vision [1QwUr0czSLcqICjTyiap1G],1QwUr0czSLcqICjTyiap1G,Q134511308,Bon Music Vision,Bon Music Vision,Q84,London,musical group,United Kingdom
Bondax [4qobOrZpdUri80gScwsHfs],4qobOrZpdUri80gScwsHfs,Q15528102,Bondax,Bondax,,,musical duo,United Kingdom
Bones [16kd5X3pBMOtXdLlX5LcAw],16kd5X3pBMOtXdLlX5LcAw,Q28340958,Bones,Bones,,,musical group,United Kingdom
Bonzo Dog Doo-Dah Band [6Q7D1oEccgTc8MAYdMgtIx],6Q7D1oEccgTc8MAYdMgtIx,Q205356,Bonzo Dog Doo-Dah Band,Bonzo Dog Doo-Dah Band,Q84,London,musical group,United Kingdom
Bootyard Bandits [7gobZTS0uqbaYHkukwqpBY],7gobZTS0uqbaYHkukwqpBY,Q112341495,Bootyard Bandits,Bootyard Bandits,,,musical group,United Kingdom
Booze & Glory [4gVommn6B9vUqdsfSwVaiv],4gVommn6B9vUqdsfSwVaiv,Q17300304,Booze & Glory,Booze & Glory,,,musical group,United Kingdom
Boss Keloid [4zwLxPj8Rz2X2QV12DnHnk],4zwLxPj8Rz2X2QV12DnHnk,Q107211240,Boss Keloid,Boss Keloid,Q208143,Wigan,musical group,United Kingdom
Bossy Love [2gtghUEyzHvdaHMf62IxcG],2gtghUEyzHvdaHMf62IxcG,Q50406072,Bossy Love,Bossy Love,Q4093,Glasgow,musical group,United Kingdom
Boston Manor [4WjeQi9wm84lYTIWZ95QoM],4WjeQi9wm84lYTIWZ95QoM,Q48700689,Boston Manor,Boston Manor,Q170377,Blackpool,musical group,United Kingdom
Bournemouth Sinfonietta [3SrOlll9sjDBbH1kOTsALh],3SrOlll9sjDBbH1kOTsALh,Q4950295,Bournemouth Sinfonietta,Bournemouth Sinfonietta,Q170478,Bournemouth,sinfonietta,United Kingdom
Bournemouth Symphony Orchestra [0kH3qHYdrKMy2LWAYSZOtz],0kH3qHYdrKMy2LWAYSZOtz,Q2776794,Bournemouth Symphony Orchestra,Bournemouth Symphony Orchestra,Q170478,Bournemouth,charitable organization|symphony orchestra,United Kingdom
Bournemouth Symphony Orchestra [2KuPDJp7FCpmaUy4jKcjfB],2KuPDJp7FCpmaUy4jKcjfB,Q2776794,Bournemouth Symphony Orchestra,Bournemouth Symphony Orchestra,Q170478,Bournemouth,charitable organization|symphony orchestra,United Kingdom
Bow Wow Wow [52K4ArhA4OgMO7AsyEgqCT],52K4ArhA4OgMO7AsyEgqCT,Q895390,Bow Wow Wow,Bow Wow Wow,Q84,London,rock band,United Kingdom
Breabach [1HyT0AtzTH5lVzlm8yQgbI],1HyT0AtzTH5lVzlm8yQgbI,Q4959091,Breabach,Breabach,,,folk music group,United Kingdom
Breakfast Muff [32EpMrCPvAN5TBrqm16uKR],32EpMrCPvAN5TBrqm16uKR,Q111700944,Breakfast Muff,Breakfast Muff,Q4093,Glasgow,musical trio,United Kingdom
Breathe [1MNeXu0284O7mQWgF1YRc0],1MNeXu0284O7mQWgF1YRc0,Q2307431,Breathe,Breathe,,,musical group,United Kingdom
Breichiau Hir [6w8gBGhM600UpUlfHtrhWy],6w8gBGhM600UpUlfHtrhWy,Q13126222,Breichiau Hir,Breichiau Hir,Q25,Wales,musical group,United Kingdom
Breton [38bfc5BSVq6sVAssDmdc8N],38bfc5BSVq6sVAssDmdc8N,Q2924565,Breton,Breton,,,musical group,United Kingdom
Brian Poole & The Tremeloes [7oovWTnMtmERd4nCPjg4Pk],7oovWTnMtmERd4nCPjg4Pk,Q108800879,Brian Poole & The Tremeloes,Brian Poole & The Tremeloes,Q1075299,Dagenham,musical group,United Kingdom
Brigade [3Pe6cTeK4snv61bTeIZ3mN],3Pe6cTeK4snv61bTeIZ3mN,Q4891386,Brigade,Brigade,Q84,London,rock band,United Kingdom
Bright City [5hYRBkg6k7yq787YZedMaR],5hYRBkg6k7yq787YZedMaR,Q54666837,Bright City,Bright City,,,musical group,United Kingdom
Brilliant [1zQHBGx7G1qS2sjPLhk0tv],1zQHBGx7G1qS2sjPLhk0tv,Q2925560,Brilliant,Brilliant,,,musical group,United Kingdom
