origin_cluster,band_count,top_band,formation_qids,direct_entity_labels,matched_municipalities,candidate_fua_codes,candidate_fua_names,mapping_tier,fua_code,mapping_method,source_urls,notes
Glasgow,22,Franz Ferdinand,Q4093,Glasgow,East Dunbartonshire|Glasgow City|North Lanarkshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q4093,"The official OECD municipality list assigns East Dunbartonshire, Glasgow City, North Lanarkshire to Glasgow FUA."
Glastonbury,1,Reef,Q210891,Glastonbury,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q210891,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Godalming,1,Genesis,Q23276|Q909146,Surrey|Godalming,Waverley,UK033F,Guildford,strict,UK033F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q909146,The official OECD municipality list assigns Waverley to Guildford FUA.
Grangemouth,1,Cocteau Twins,Q617845,Grangemouth,Falkirk,UK551F,Falkirk,strict,UK551F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q617845,The official OECD municipality list assigns Falkirk to Falkirk FUA.
Great Yarmouth,1,Catherine Wheel,Q237253,Great Yarmouth,Great Yarmouth,UK051F,Great Yarmouth,strict,UK051F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q237253,The official OECD municipality list assigns Great Yarmouth to Great Yarmouth FUA.
Guildford,3,The Stranglers,Q213465,Guildford,Guildford,UK033F,Guildford,strict,UK033F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q213465,The official OECD municipality list assigns Guildford to Guildford FUA.
Halifax,1,Paradise Lost,Q826561,Halifax,Calderdale,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q826561,The official OECD municipality list assigns Calderdale to Leeds FUA.
Hamburg,1,Nektar,Q1055,Hamburg,,,,excluded_non_uk,,outside_uk_fua_universe,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1055,Hamburg is outside the UK FUA universe.
Hampshire,1,Ward Thomas,Q23204,Hampshire,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23204,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Harlow,1,Warning,Q852729,Harlow,Harlow,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q852729,The official OECD municipality list assigns Harlow to London FUA.
Harrow,1,Blancmange,Q54961,Harrow,City of London|Harrow,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q54961,"The official OECD municipality list assigns City of London, Harrow to London FUA."
Hartlepool,1,Sneaker Pimps,Q215752,Hartlepool,Hartlepool,UK559F,Middlesbrough,strict,UK559F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q215752,The official OECD municipality list assigns Hartlepool to Middlesbrough FUA.
Hatfield,1,Babe Ruth,Q19788,Hatfield,Welwyn Hatfield,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q19788,The official OECD municipality list assigns Welwyn Hatfield to London FUA.
Hemel Hempstead,1,Porcupine Tree,Q3532,Hemel Hempstead,Dacorum,UK556F,Dacorum,strict,UK556F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q3532,The official OECD municipality list assigns Dacorum to Dacorum FUA.
Hendon,1,Snuff,Q149787,Hendon,Barnet|City of London,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q149787,"The official OECD municipality list assigns Barnet, City of London to London FUA."
Hereford,1,Pretenders,Q204720,Hereford,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q204720,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Herefordshire,1,Mott The Hoople,Q23129,Herefordshire,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23129,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Hertford,2,Deep Purple,Q21|Q84|Q9681,England|London|Hertford,East Hertfordshire,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q9681,The official OECD municipality list assigns East Hertfordshire to London FUA.
High Wycombe,1,Young Guns,Q64116,High Wycombe,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q64116,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Hounslow,1,Dodgy,Q2022317,Hounslow,City of London|Hounslow,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2022317,"The official OECD municipality list assigns City of London, Hounslow to London FUA."
Hoylake,1,The Coral,Q2024069,Hoylake,Wirral,UK006F,Liverpool,strict,UK006F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2024069,The official OECD municipality list assigns Wirral to Liverpool FUA.
Huddersfield,1,Evile,Q201812,Huddersfield,Kirklees,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q201812,The official OECD municipality list assigns Kirklees to Leeds FUA.
Hunstanton,1,Deaf Havana,Q617188,Hunstanton,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q617188,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Isle of Wight,2,Wet Leg,Q9679,,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q9679,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Keighley,2,Skeletal Family,Q990168,Keighley,Bradford,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q990168,The official OECD municipality list assigns Bradford to Leeds FUA.
Kettering,1,Temples,Q984613,Kettering,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q984613,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Kilmarnock,1,Biffy Clyro,Q576562,Kilmarnock,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q576562,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Kilsyth,1,The Twilight Sad,Q1010328,Kilsyth,Falkirk|North Lanarkshire,UK004F|UK551F,Falkirk|Glasgow,excluded_no_defensible_fua,,ambiguous_official_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1010328,"The available place hierarchy reaches multiple official FUAs: UK004F, UK551F."
Kingston upon Hull,4,Everything But The Girl,Q128147,Kingston upon Hull,East Riding of Yorkshire,UK026F,Kingston upon Hull,strict,UK026F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q128147,The official OECD municipality list assigns East Riding of Yorkshire to Kingston upon Hull FUA.
Kirkby,1,China Crisis,Q2469070,Kirkby,Knowsley,UK006F,Liverpool,strict,UK006F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2469070,The official OECD municipality list assigns Knowsley to Liverpool FUA.
Ladbroke Grove,1,Hawkwind,Q15030864,Ladbroke Grove,City of London|Kensington and Chelsea,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q15030864,"The official OECD municipality list assigns City of London, Kensington and Chelsea to London FUA."
Larne,1,Therapy?,Q935686,Larne,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q935686,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Leeds,11,alt-J,Q39121,Leeds,Leeds,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q39121,The official OECD municipality list assigns Leeds to Leeds FUA.
Leek,1,Demon,Q2070717,Leek,Staffordshire Moorlands,UK027F,Stoke-on-Trent,strict,UK027F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2070717,The official OECD municipality list assigns Staffordshire Moorlands to Stoke-on-Trent FUA.
Leicester,2,Kasabian,Q83065,Leicester,Leicester,UK014F,Leicester,strict,UK014F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q83065,The official OECD municipality list assigns Leicester to Leicester FUA.
Leicestershire,1,The Daydream Club,Q23106,Leicestershire,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23106,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Leighton Buzzard,1,Kajagoogoo,Q2462645,Leighton Buzzard,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2462645,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Leuchars,1,Danny Wilson,Q1011960,Leuchars,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1011960,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Little Hulton,1,Happy Mondays,Q6650377,Little Hulton,Salford,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q6650377,The official OECD municipality list assigns Salford to Manchester FUA.
Liverpool,35,The Beatles,Q24826,Liverpool,Liverpool,UK006F,Liverpool,strict,UK006F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q24826,The official OECD municipality list assigns Liverpool to Liverpool FUA.
London,245,Coldplay,Q10996|Q149556|Q205679|Q205817|Q21|Q2308650|Q2750829|Q6537297|Q84,Bushey|West Hampstead|London Borough of Hackney|London Borough of Islington|England|Deptford|Leyton|Lewisham|London,Camden|City of London|Greenwich|Hackney|Hertsmere|Islington|Lewisham|Waltham Forest,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q10996|https://www.wikidata.org/wiki/Q149556|https://www.wikidata.org/wiki/Q205679|https://www.wikidata.org/wiki/Q205817|https://www.wikidata.org/wiki/Q21|https://www.wikidata.org/wiki/Q2308650|https://www.wikidata.org/wiki/Q2750829|https://www.wikidata.org/wiki/Q6537297|https://www.wikidata.org/wiki/Q84,"The official OECD municipality list assigns Camden, City of London, Greenwich, Hackney, Hertsmere, Islington, Lewisham, Waltham Forest to London FUA."
Lowestoft,1,The Darkness,Q986007,Lowestoft,East Suffolk,UK569F,Ipswich,strict,UK569F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q986007,The official OECD municipality list assigns East Suffolk to Ipswich FUA.
Luton,1,Jethro Tull,Q203889,Luton,Luton,UK532F,Luton,strict,UK532F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q203889,The official OECD municipality list assigns Luton to Luton FUA.
Macclesfield,1,Cassia,Q868637,Macclesfield,Cheshire East,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q868637,The official OECD municipality list assigns Cheshire East to Manchester FUA.
Manchester,41,Oasis,Q18125|Q18655|Q2011497|Q208143|Q47952,Manchester|Stockport|Wilmslow|Wigan|Salford,Manchester,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q18125,The official OECD municipality list assigns Manchester to Manchester FUA.
Mansfield,1,B-Movie,Q841979,Mansfield,Mansfield,UK046F,Mansfield,strict,UK046F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q841979,The official OECD municipality list assigns Mansfield to Mansfield FUA.
Meols,1,Orchestral Manoeuvres In The Dark,Q1616766,Meols,Wirral,UK006F,Liverpool,strict,UK006F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1616766,The official OECD municipality list assigns Wirral to Liverpool FUA.
Merthyr Tydfil,1,Pretty Vicious,Q752762,Merthyr Tydfil,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q752762,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Middlesbrough,1,Whitesnake,Q171866,Middlesbrough,Middlesbrough,UK559F,Middlesbrough,strict,UK559F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q171866,The official OECD municipality list assigns Middlesbrough to Middlesbrough FUA.
Middleton,1,Courteeners,Q2560244,Middleton,Rochdale,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q2560244,The official OECD municipality list assigns Rochdale to Manchester FUA.
Milton Keynes,2,TesseracT,Q204234,Milton Keynes,Milton Keynes,UK525F,Milton Keynes,strict,UK525F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q204234,The official OECD municipality list assigns Milton Keynes to Milton Keynes FUA.
Mold,1,The Joy Formidable,Q1191195,Mold,Flintshire,UK568F,Cheshire West and Chester,strict,UK568F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1191195,The official OECD municipality list assigns Flintshire to Cheshire West and Chester FUA.
Moreton,1,Humble Pie,Q1017049,Moreton,Epping Forest,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1017049,The official OECD municipality list assigns Epping Forest to London FUA.
Motherwell,1,The Delgados,Q737547,Motherwell,North Lanarkshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q737547,The official OECD municipality list assigns North Lanarkshire to Glasgow FUA.
New York City,1,Spacehog,Q60,New York City,,,,excluded_non_uk,,outside_uk_fua_universe,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q60,New York City is outside the UK FUA universe.
Newcastle upon Tyne,8,The Animals,Q1425428,Newcastle upon Tyne,Newcastle upon Tyne|Northumberland,UK013F,Newcastle upon Tyne,strict,UK013F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1425428,"The official OECD municipality list assigns Newcastle upon Tyne, Northumberland to Newcastle upon Tyne FUA."
Newport,3,Skindred,Q101254,Newport,Newport,UK558F,Newport,strict,UK558F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q101254,The official OECD municipality list assigns Newport to Newport FUA.
Newry,1,Gama Bomb,Q269980,Newry,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q269980,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Norfolk,1,Magoo,Q23109,Norfolk,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q23109,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
North London,1,Gorgon City,Q734547,North London,City of London,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q734547,The official OECD municipality list assigns City of London to London FUA.
Northampton,3,Bauhaus,Q192240,Northampton,West Northamptonshire,UK528F,Northampton,strict,UK528F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q192240,The official OECD municipality list assigns West Northamptonshire to Northampton FUA.
Northern Ireland,1,The Divine Comedy,Q26,Northern Ireland,,,,excluded_no_defensible_fua,,no_reviewed_assignment,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q26,No assignment is made because the resolved place is not in the official OECD municipality-to-FUA crosswalk.
Norwich,1,Let's Eat Grandma,Q130191,Norwich,Norwich,UK566F,Norwich,strict,UK566F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q130191,The official OECD municipality list assigns Norwich to Norwich FUA.
Notting Hill,1,Killing Joke,Q215354,Notting Hill,City of London|Kensington and Chelsea,UK001F,London,strict,UK001F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q215354,"The official OECD municipality list assigns City of London, Kensington and Chelsea to London FUA."
Nottingham,5,London Grammar,Q41262,Nottingham,Nottingham,UK029F,Nottingham,strict,UK029F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q41262,The official OECD municipality list assigns Nottingham to Nottingham FUA.
Oldham,4,N-Trance,Q202628,Oldham,Oldham,UK008F,Manchester,strict,UK008F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q202628,The official OECD municipality list assigns Oldham to Manchester FUA.
Otley,1,The Chevin,Q658902,Otley,Leeds,UK003F,Leeds,strict,UK003F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q658902,The official OECD municipality list assigns Leeds to Leeds FUA.
Oxford,6,Radiohead,Q321381|Q34217,Abingdon-on-Thames|Oxford,Oxford,UK560F,Oxford,strict,UK560F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q34217,The official OECD municipality list assigns Oxford to Oxford FUA.
Paisley,2,Stealers Wheel,Q211870,Paisley,East Renfrewshire|Glasgow City|Renfrewshire,UK004F,Glasgow,strict,UK004F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q211870,"The official OECD municipality list assigns East Renfrewshire, Glasgow City, Renfrewshire to Glasgow FUA."
Peacehaven,1,Peter and the Test Tube Babies,Q1935259,Peacehaven,Lewes,UK515F,Brighton and Hove,strict,UK515F,official_oecd_municipality_crosswalk,https://www.oecd.org/content/dam/oecd/en/data/datasets/oecd-definition-of-cities-and-functional-urban-areas/list_of_municipalities_in_FUAs_and_Cities.csv|https://www.wikidata.org/wiki/Q1935259,The official OECD municipality list assigns Lewes to Brighton and Hove FUA.
