popularity_rank,spotify_name,monthly_listeners,followers,returned_spotify_id,spotify_url,wikidata_qid,band_name,formation_label,country_label,origin_cluster,origin_resolution,identity_status,review_flag
75,Supertramp,7695790,4214119,3JsMj0DEzyWc0VDlHuy9Bx,https://open.spotify.com/artist/3JsMj0DEzyWc0VDlHuy9Bx,Q176457,Supertramp,London,United Kingdom,London,reported_place,accepted_exact_name,
76,Oh Wonder,7552797,1128715,5cIc3SBFuBLVxJz58W2tU9,https://open.spotify.com/artist/5cIc3SBFuBLVxJz58W2tU9,Q21452721,Oh Wonder,London,United Kingdom,London,reported_place,accepted_exact_name,
77,Goodboys,7292613,130149,2nm38smINjms1LtczR0Cei,https://open.spotify.com/artist/2nm38smINjms1LtczR0Cei,Q65052503,Goodboys,London,United Kingdom,London,reported_place,accepted_exact_name,
78,The Wanted,7143333,2480552,2NhdGz9EDv2FeUw6udu2g1,https://open.spotify.com/artist/2NhdGz9EDv2FeUw6udu2g1,Q34918,The Wanted,England,United Kingdom,London,reviewed_override,accepted_exact_name,
79,Culture Club,7076755,1913999,6kz53iCdBSqhQCZ21CoLcc,https://open.spotify.com/artist/6kz53iCdBSqhQCZ21CoLcc,Q50037,Culture Club,London,United Kingdom,London,reported_place,accepted_exact_name,
80,Deep Purple,6998809,6229490,568ZhdwyaiCyOGJRtNYhWf,https://open.spotify.com/artist/568ZhdwyaiCyOGJRtNYhWf,Q101505,Deep Purple,England|Hertford|London,United Kingdom,Hertford,reviewed_multi_place_rule,accepted_exact_name,
81,The Kooks,6950019,2737101,1GLtl8uqKmnyCWxHmw9tL4,https://open.spotify.com/artist/1GLtl8uqKmnyCWxHmw9tL4,Q211768,The Kooks,Brighton,United Kingdom,Brighton,reported_place,accepted_exact_name,
82,La Roux,6858904,712440,3K2zB87GZv1krx031en5VA,https://open.spotify.com/artist/3K2zB87GZv1krx031en5VA,Q200002,La Roux,London,United Kingdom,London,reported_place,accepted_exact_name,
83,10cc,6808182,952868,6i6WlGzQtXtz7GcC5H5st5,https://open.spotify.com/artist/6i6WlGzQtXtz7GcC5H5st5,Q169145,10cc,Stockport,United Kingdom,Manchester,editorial_city_cluster,accepted_exact_name,
84,CamelPhat,6543464,572358,240wlM8vDrf6S4zCyzGj2W,https://open.spotify.com/artist/240wlM8vDrf6S4zCyzGj2W,Q21008079,CamelPhat,Liverpool,United Kingdom,Liverpool,reported_place,accepted_exact_name,
85,Take That,6539015,1517488,1XgFuvRd7r5g0h844A5ZUQ,https://open.spotify.com/artist/1XgFuvRd7r5g0h844A5ZUQ,Q152066,Take That,Manchester,United Kingdom,Manchester,reported_place,accepted_exact_name,
86,Whitesnake,6249726,3532823,3UbyYnvNIT5DFXU4WgiGpP,https://open.spotify.com/artist/3UbyYnvNIT5DFXU4WgiGpP,Q189965,Whitesnake,Middlesbrough,United Kingdom,Middlesbrough,reported_place,accepted_exact_name,
87,The Vamps,6167219,5952843,7gAppWoH7pcYmphCVTXkzs,https://open.spotify.com/artist/7gAppWoH7pcYmphCVTXkzs,Q15042553,The Vamps,England|London,United Kingdom,London,reported_place,accepted_exact_name,
88,The Human League,6085844,1370364,1aX2dmV8XoHYCOQRxjPESG,https://open.spotify.com/artist/1aX2dmV8XoHYCOQRxjPESG,Q730158,The Human League,Sheffield,United Kingdom,Sheffield,reported_place,accepted_exact_name,
89,Pretenders,6044974,1771319,0GByy3DcfbQwDvXGCWmzv9,https://open.spotify.com/artist/0GByy3DcfbQwDvXGCWmzv9,Q667389,The Pretenders,Hereford,United Kingdom,Hereford,reported_place,accepted_reviewed_alias,
90,AlunaGeorge,6010368,456793,2VAnyOxzJuSAj7XIuEOT38,https://open.spotify.com/artist/2VAnyOxzJuSAj7XIuEOT38,Q10353,AlunaGeorge,London,United Kingdom,London,reported_place,accepted_exact_name,
91,Portishead,5958911,2540792,6liAMWkVf5LH7YR9yfFy1Y,https://open.spotify.com/artist/6liAMWkVf5LH7YR9yfFy1Y,Q191352,Portishead,Bristol,United Kingdom,Bristol,reported_place,accepted_exact_name,
92,Frou Frou,5930276,419619,6MUyqmIQ35inLjch0YzIEG,https://open.spotify.com/artist/6MUyqmIQ35inLjch0YzIEG,Q2629330,Frou Frou,London,United Kingdom,London,reported_place,accepted_exact_name,
93,Soft Cell,5766246,869007,6aq8T2RcspxVOGgMrTzjWc,https://open.spotify.com/artist/6aq8T2RcspxVOGgMrTzjWc,Q1329303,Soft Cell,Leeds,United Kingdom,Leeds,reported_place,accepted_exact_name,
94,Stealers Wheel,5726001,253056,7bPU7cvfoD20ixGD9Qnqki,https://open.spotify.com/artist/7bPU7cvfoD20ixGD9Qnqki,Q283638,Stealers Wheel,Paisley,Scotland,Paisley,reported_place,accepted_exact_name,
95,Katrina & The Waves,5671000,171867,2TzHIUhVpeeDxyJPpQfnV3,https://open.spotify.com/artist/2TzHIUhVpeeDxyJPpQfnV3,Q934582,Katrina and the Waves,Cambridge,United Kingdom,Cambridge,reported_place,accepted_reviewed_alias,
96,LF SYSTEM,5611864,113693,0HxX6imltnNXJyQhu4nsiO,https://open.spotify.com/artist/0HxX6imltnNXJyQhu4nsiO,Q113022702,LF System,,Scotland|United Kingdom,West Lothian,reviewed_override,accepted_exact_name,
97,Everything But The Girl,5607393,480010,13ccXrK7AmXb4TddMkE7jy,https://open.spotify.com/artist/13ccXrK7AmXb4TddMkE7jy,Q313779,Everything but the Girl,Kingston upon Hull,United Kingdom,Kingston upon Hull,reported_place,accepted_exact_name,
98,The La's,5581915,320009,47Z8LEl3LnQkcpva0xSthT,https://open.spotify.com/artist/47Z8LEl3LnQkcpva0xSthT,Q1860769,The La's,Liverpool,United Kingdom,Liverpool,reported_place,accepted_exact_name,
99,The xx,5459918,3911861,3iOvXCl6edW5Um0fXEBRXy,https://open.spotify.com/artist/3iOvXCl6edW5Um0fXEBRXy,Q869367,The xx,London,United Kingdom,London,reported_place,accepted_exact_name,
100,Fine Young Cannibals,5309505,1018624,20p5D2KrE8CGuOjHtxsyTp,https://open.spotify.com/artist/20p5D2KrE8CGuOjHtxsyTp,Q14528,Fine Young Cannibals,Birmingham,United Kingdom,Birmingham,reported_place,accepted_exact_name,
101,Stereophonics,5187258,1843050,21UJ7PRWb3Etgsu99f8yo8,https://open.spotify.com/artist/21UJ7PRWb3Etgsu99f8yo8,Q28963,Stereophonics,Cwmaman,Wales,Cwmaman,reported_place,accepted_exact_name,
102,Bush,5127264,2264067,78SHxLdtysAXgywQ4vE0Oa,https://open.spotify.com/artist/78SHxLdtysAXgywQ4vE0Oa,Q247949,Bush,London,United Kingdom,London,reported_place,accepted_exact_name,
103,Cocteau Twins,5124023,1683661,5Wabl1lPdNOeIn0SQ5A1mp,https://open.spotify.com/artist/5Wabl1lPdNOeIn0SQ5A1mp,Q588820,Cocteau Twins,Grangemouth,United Kingdom,Grangemouth,reported_place,accepted_exact_name,
104,Bullet For My Valentine,5036374,3716305,7iWiAD5LLKyiox2grgfmUT,https://open.spotify.com/artist/7iWiAD5LLKyiox2grgfmUT,Q485385,Bullet for My Valentine,Bridgend,United Kingdom,Bridgend,reported_place,accepted_exact_name,
105,The Prodigy,5031555,3074898,4k1ELeJKT1ISyDv8JivPpB,https://open.spotify.com/artist/4k1ELeJKT1ISyDv8JivPpB,Q7256860,The Prodigy,Braintree|Essex,United Kingdom,Braintree,reviewed_multi_place_rule,accepted_exact_name,
106,The Zombies,5025277,1164571,2jgPkn6LuUazBoBk6vvjh5,https://open.spotify.com/artist/2jgPkn6LuUazBoBk6vvjh5,Q1163207,The Zombies,St Albans,United Kingdom,St Albans,reported_place,accepted_exact_name,
107,Hot Chocolate,5017699,393132,72VzFto8DYvKHocaHYNWSi,https://open.spotify.com/artist/72VzFto8DYvKHocaHYNWSi,Q1368881,Hot Chocolate,West Hampstead,United Kingdom,London,editorial_city_cluster,accepted_exact_name,
108,The Alan Parsons Project,4991688,1804870,2m62cc253Xvd9qYQ8d2X3d,https://open.spotify.com/artist/2m62cc253Xvd9qYQ8d2X3d,Q533478,The Alan Parsons Project,Glasgow,United Kingdom,Glasgow,reported_place,accepted_exact_name,
109,Chase & Status,4913546,1285130,3jNkaOXasoc7RsxdchvEVq,https://open.spotify.com/artist/3jNkaOXasoc7RsxdchvEVq,Q1067983,Chase & Status,London,United Kingdom,London,reported_place,accepted_exact_name,
110,Wings,4863252,1356305,3sFhA6G1N0gG1pszb6kk1m,https://open.spotify.com/artist/3sFhA6G1N0gG1pszb6kk1m,Q622988,Wings,England,United Kingdom,,unresolved_generic_or_missing,accepted_exact_name,origin unresolved
111,Hurts,4854547,380397,3w4VAlllkAWI6m0AV0Gn6a,https://open.spotify.com/artist/3w4VAlllkAWI6m0AV0Gn6a,Q493042,Hurts,Manchester,United Kingdom,Manchester,reported_place,accepted_exact_name,
112,Erasure,4832016,1261829,0z5DFXmhT4ZNzWElsM7V89,https://open.spotify.com/artist/0z5DFXmhT4ZNzWElsM7V89,Q484885,Erasure,England,United Kingdom,,unresolved_generic_or_missing,accepted_exact_name,origin unresolved
113,Chumbawamba,4700579,225650,0TcYeHEK9sBtv7xPbKhzHz,https://open.spotify.com/artist/0TcYeHEK9sBtv7xPbKhzHz,Q1089523,Chumbawamba,Burnley,United Kingdom,Burnley,reported_place,accepted_exact_name,
114,A Flock Of Seagulls,4670482,774464,0uAjBatvB4ubpd4kCfjmNt,https://open.spotify.com/artist/0uAjBatvB4ubpd4kCfjmNt,Q300409,A Flock of Seagulls,Liverpool,United Kingdom,Liverpool,reported_place,accepted_exact_name,
115,Slowdive,4658345,1560399,72X6FHxaShda0XeQw3vbeF,https://open.spotify.com/artist/72X6FHxaShda0XeQw3vbeF,Q1502037,Slowdive,Reading,United Kingdom,Reading,reported_place,accepted_exact_name,
116,Supergrass,4645328,719253,0sHeX8oQ6o7xic3wMf4NBU,https://open.spotify.com/artist/0sHeX8oQ6o7xic3wMf4NBU,Q1120684,Supergrass,Wheatley,United Kingdom,Wheatley,reported_place,accepted_exact_name,
