band,city,musicbrainz_id,origin_confidence,origin_evidence_url,editorial_review_flag,spotify_url,spotify_match_name,selection_source,notes,spotify_id,spotify_name,monthly_listeners,followers,stats_extracted_at,source,match_quality,id_source,population
The Southern Death Cult,Bradford,5df6c0a8-c744-4097-b3b4-bcf32b52eea5,high,https://musicbrainz.org/artist/5df6c0a8-c744-4097-b3b4-bcf32b52eea5,False,https://open.spotify.com/artist/6GERoHMM4dUkN8Edm5mXXJ,The Southern Death Cult,agent_addition,Predecessor scene lineage to The Cult; The Cult itself is not counted.,6GERoHMM4dUkN8Edm5mXXJ,The Southern Death Cult,9903,31988,2026-07-17,Spotify public artist page,exact,catalogue override,1379872
Scars on 45,Bradford,c128319a-a151-41d5-9689-323e016d048b,high,https://musicbrainz.org/artist/c128319a-a151-41d5-9689-323e016d048b,False,https://open.spotify.com/artist/5ltIfb6fKhN2sxGic1WRWy,Scars On 45,agent_addition,,5ltIfb6fKhN2sxGic1WRWy,Scars On 45,36088,17936,2026-07-17,Spotify public artist page,exact,catalogue override,1379872
Anti-System,Bradford,d6dcc614-4c72-4a0b-95dd-1bf5087abd85,high,https://musicbrainz.org/artist/d6dcc614-4c72-4a0b-95dd-1bf5087abd85,False,https://open.spotify.com/artist/160NmOGDz8qBoB4LNpF5w4,Anti-System,agent_addition,,160NmOGDz8qBoB4LNpF5w4,Anti-System,865,6794,2026-07-17,Spotify public artist page,exact,catalogue override,1379872
Massive Attack,Bristol,10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,high,https://musicbrainz.org/artist/10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8,False,,,existing_shortlist,,6FXMGgJwohJLUSr5nVlf9X,Massive Attack,8717446,2942650,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Portishead,Bristol,8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,high,https://musicbrainz.org/artist/8f6bd1e4-fbe1-4f50-aa9b-94c450ec0f11,False,,,existing_shortlist,,6liAMWkVf5LH7YR9yfFy1Y,Portishead,5962887,2540076,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Smith & Mighty,Bristol,47cfcf6b-44d5-4a8d-ad12-47722c88468c,high,https://musicbrainz.org/artist/47cfcf6b-44d5-4a8d-ad12-47722c88468c,False,,,eligibility_replacement,Replaces solo artist Tricky in the independent scene-depth catalogue.,5fegFJAeq9eItFZf8oPIin,Smith & Mighty,50325,13246,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Idles,Bristol,be465d4f-c28d-4ba1-94ab-ebaada7db8af,high,https://musicbrainz.org/artist/be465d4f-c28d-4ba1-94ab-ebaada7db8af,False,,IDLES,existing_shortlist,,75mafsNqNE1WSEVxIKuY5C,IDLES,1063380,893023,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Kosheen,Bristol,4f4bda3c-d636-4135-b65a-6cc26bc75788,high,https://musicbrainz.org/artist/4f4bda3c-d636-4135-b65a-6cc26bc75788,False,,,existing_shortlist,,5squ8uM6fhMQY71t9xobJC,Kosheen,1385480,160972,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
The Pop Group,Bristol,4c9f194e-6235-475a-bf7b-2fd54a0879ec,high,https://musicbrainz.org/artist/4c9f194e-6235-475a-bf7b-2fd54a0879ec,False,,,agent_addition,,3fBmq4xVcd346QvErp6fko,The Pop Group,12007,34558,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Roni Size / Reprazent,Bristol,45e00f0f-f52b-4db8-a480-cf87b71c4800,high,https://musicbrainz.org/artist/45e00f0f-f52b-4db8-a480-cf87b71c4800,True,,,agent_addition,Formally eligible named group; drum-and-bass editorial review.,0QJsUBH0PcoT2fYI1F1Oee,Roni Size Reprazent,306,1053,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Fuck Buttons,Bristol,f4640b20-b76b-40d3-9ffc-a38b6718b273,high,https://musicbrainz.org/artist/f4640b20-b76b-40d3-9ffc-a38b6718b273,False,,,agent_addition,,6tCENAD2FBfIMyygJMeOJV,Fuck Buttons,24039,63127,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Way Out West,Bristol,2c2a80cf-193d-4be6-992e-311428085474,high,https://musicbrainz.org/artist/2c2a80cf-193d-4be6-992e-311428085474,False,,,agent_addition,,3HghjRl8Mo6OJWG0WElY2z,Way Out West,183815,50180,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
The Blue Aeroplanes,Bristol,935295a6-8b6c-4de6-819c-da5113dac8fc,high,https://musicbrainz.org/artist/935295a6-8b6c-4de6-819c-da5113dac8fc,False,,,agent_addition,,4MTSrVgHNfGtYV9pek8vY5,The Blue Aeroplanes,16329,13720,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,712225
Dog Is Dead,Nottingham,,high,https://en.wikipedia.org/wiki/Dog_Is_Dead,False,https://open.spotify.com/artist/1XwRhEHqiCVgiEJQk66fyy,D.I.D,existing_shortlist,Corrects the known bad Spotify match only inside the independent scene-depth experiment.,1XwRhEHqiCVgiEJQk66fyy,D.I.D,15244,26021,2026-07-17,Spotify public artist page,exact,catalogue override,919484
London Grammar,Nottingham,4dbe08c1-b40a-43b3-ab89-210000bd8ab2,high,https://musicbrainz.org/artist/4dbe08c1-b40a-43b3-ab89-210000bd8ab2,False,,,existing_shortlist,,3Bd1cgCjtCI32PYvDC3ynO,London Grammar,2840144,1695078,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
Paper Lace,Nottingham,c62995d6-a622-43e0-ae11-12a0f8638deb,high,https://musicbrainz.org/artist/c62995d6-a622-43e0-ae11-12a0f8638deb,True,,,eligibility_replacement,Replaces solo artist Jake Bugg in the independent scene-depth catalogue.,33W24YuaMUEk85MwRX6cRs,Paper Lace,203843,42806,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
Ten Years After,Nottingham,73faa89a-ee00-4e40-b68e-80e4891dbc45,medium,https://nottsmusicarchive.com/ten-years-after/,False,,,existing_shortlist,MusicBrainz lists London but Nottingham sources document the band's local roots and formation.,7nkLRaWHImCvWGHdNGnhVE,Ten Years After,2122644,656837,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
Sleaford Mods,Nottingham,09d8290b-6ada-422f-8ce3-19349fb1c15d,high,https://musicbrainz.org/artist/09d8290b-6ada-422f-8ce3-19349fb1c15d,False,,,existing_shortlist,,0otAqZw8htTsGHfqR491Yh,Sleaford Mods,336181,304545,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
Tindersticks,Nottingham,4306a798-e2f8-4192-9a45-2fd41cdae60c,high,https://musicbrainz.org/artist/4306a798-e2f8-4192-9a45-2fd41cdae60c,False,https://open.spotify.com/artist/3dmSPhg0tdao8ePj4pySJ5,Tindersticks,agent_addition,,3dmSPhg0tdao8ePj4pySJ5,Tindersticks,189356,214856,2026-07-17,Spotify public artist page,exact,catalogue override,919484
Six by Seven,Nottingham,5e2e050f-7280-464e-b251-0a1272c43300,high,https://musicbrainz.org/artist/5e2e050f-7280-464e-b251-0a1272c43300,False,,,agent_addition,,4TXdHyuAOl3rAOFmZ6MeKz,Six by Seven,2511,5011,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
Bent,Nottingham,0a77bec1-12ef-4caa-b36a-f533001fcd29,high,https://musicbrainz.org/artist/0a77bec1-12ef-4caa-b36a-f533001fcd29,False,,,agent_addition,,59xljcfdN2Z9VX2U5RFKEa,Bent,393260,85106,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
Crazy P,Nottingham,45644225-982e-4b76-a529-d8f9688e9a7d,high,https://musicbrainz.org/artist/45644225-982e-4b76-a529-d8f9688e9a7d,False,,,agent_addition,,6jOz2B9qeID4dLP1o8bFGf,Crazy P,1030611,158001,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
Pitchshifter,Nottingham,fe8ab7ee-c664-4d44-aec1-5b58ae937a5c,high,https://musicbrainz.org/artist/fe8ab7ee-c664-4d44-aec1-5b58ae937a5c,False,,,agent_addition,,10aXVE8RSUCeMzaFvBnZ2i,Pitchshifter,44145,48932,2026-07-17,Spotify public artist page,exact,prior scene-depth identifier snapshot,919484
